speaker,timestamp,words,spanish,tags
Angela Luckey,[00:26:28:01],Those books that man that taught. Was he the one that brought those?,Esos libros que enseñó el hombre. ¿Fue él quien los trajo?,
Thomas Murillo,[00:26:32:04],"No, no, they were sent to the to that club. The crews are still on tours and they were blue cross translates as the Blue Cross.","No, no, los enviaron a ese club. Las tripulaciones siguen de gira y eran de la Cruz Azul.",education
Angela Luckey,[00:26:45:02],And your dad was one of the officers?,¿Y tu papá era uno de los oficiales?,
Thomas Murillo,[00:26:47:15],"Yeah, yeah.","Sí, sí.",
Angela Luckey,[00:26:48:19],Do you remember who was president? And then remember anyone who was present?,¿Recuerdas quién era el presidente? ¿Y recuerdas a alguien que estuviera presente?,
Thomas Murillo,[00:26:59:05],"No, I don't, another man, very intelligent man. Management was the unknown. So he was one of the officers in the club, he's the only one that I can remember.","No, no lo sé, otro hombre, muy inteligente. La gerencia era desconocida. Era uno de los directivos del club, el único que recuerdo.",education
Angela Luckey,[00:27:15:29],"Well, I Mexicans treated and, you in those days.","Bueno, yo los mexicanos traté y, ustedes en esos días.",
Thomas Murillo,[00:27:20:06],"Well,","Bien,",
Thomas Murillo,[00:27:25:22],"By and large, I think, there was, What, discrimination or prejudice that there was here wasn't too apparent because, We Mexicans socialized among ourselves, as I say, with social club. Like I mentioned, they made dances. And, there were always weddings and baptisms and even the, wakes for the funerals. What? They all were social activities.","En general, creo que había... ¿Qué? La discriminación o los prejuicios que había aquí no eran muy evidentes porque los mexicanos socializábamos entre nosotros, como digo, en clubes sociales. Como mencioné, hacían bailes. Y siempre había bodas, bautizos e incluso velorios para los funerales. ¿Qué? Todas eran actividades sociales.",education
Thomas Murillo,[00:28:04:08],"And, for example, the dances. What the heck? I'm I'm a lover of music. And certainly we had the music to dance to, which meant that we didn't have to go, to, try and get into the, the watch, the dances where we were go out. Anyway, we knew that, but it didn't make any difference because what did we need from them in the way of social activities when we had our own, which were that is nice is there's, and food was served.","Y, por ejemplo, los bailes. ¿Qué demonios? Soy amante de la música. Y, desde luego, teníamos música para bailar, lo que significaba que no teníamos que ir a ver los bailes a los que salíamos. En fin, lo sabíamos, pero no importaba, porque ¿qué necesitábamos de ellos en cuanto a actividades sociales cuando teníamos las nuestras, que eran agradables, y se servía comida?",art;recreation
Thomas Murillo,[00:28:39:11],"The Mexican food and the music was Mexican women were amazing. So what the hell did we need from them? But certainly the the discrimination prejudice existed in, in housing and jobs. yeah. I myself turned down for two jobs, told very explicitly because I was a Mexican. I couldn't have those jobs. refused entrance into the YMCA swimming pool, even though my father and all the rest of railroad employees contributed some, like a dollar or $2 a month to to, subsidy of that YMCA.","La comida y la música mexicanas eran increíbles. ¿Qué demonios necesitábamos de ellas? Pero sin duda existían prejuicios discriminatorios en materia de vivienda y empleo. Sí. Yo mismo rechacé dos trabajos, y me lo dijeron muy explícitamente por ser mexicano. No podía aceptarlos. Me negaron la entrada a la piscina de la YMCA, a pesar de que mi padre y el resto de los empleados del ferrocarril contribuían con algo, como uno o dos dólares al mes, al subsidio de la YMCA.",mexico;art;recreation;family;railroads and transportation
Thomas Murillo,[00:29:29:13],"and, those kind of things. one of the one of the things I'm so funny to is even now, in 1932, when I went to drinks to pick peas, I remember the one one of the Mexicans basically dances on Saturday nights and drinks the Mexicans did. But I remember that the American girls would go to, you know, a little rather more of a community.","Y ese tipo de cosas. Una de las cosas que me divierten tanto es que incluso ahora, en 1932, cuando iba a tomar algo a recoger guisantes, recuerdo que una de las mexicanas básicamente bailaba los sábados por la noche y bebía. Pero recuerdo que las chicas estadounidenses iban a una comunidad un poco más grande.",
Thomas Murillo,[00:29:59:10],"The girls would go, but they wouldn't dance with the Mexican, you see. They would dance with the Filipinos. There were always in those camps. The Filipinos came in California to see, and they always dressed real flashy, you know, and they always had news cars because maybe 4 or 5 guys would chip in by car. You could and they they were always dressed real fine, those guys.","Las chicas iban, pero no bailaban con los mexicanos, ¿sabes? Bailaban con los filipinos. Siempre había en esos campamentos. Los filipinos venían a California a ver, y siempre vestían muy ostentosos, ¿sabes?, y siempre tenían coches nuevos porque a lo mejor cuatro o cinco chicos se sumaban en coche. Se podía, y siempre iban muy bien vestidos, esos chicos.",recreation;mexico
Thomas Murillo,[00:30:24:21],"And so the American girls would dance with them, they go in with vixens. And I thought it was funny or, you know, they weren't until, the latter years that I went to 1936, that they, you know, the, the assimilation began to take place because inevitably, the end of their pieces and why there would be at least one American girls and take off to California, the Mexican.","Y entonces las chicas estadounidenses bailaban con ellas, se juntaban con las zorras. Y me pareció gracioso, o, ya sabes, no fue hasta los últimos años, cuando llegué a 1936, que la asimilación comenzó porque, inevitablemente, el final de sus obras... ¿por qué habría al menos una chica estadounidense que se fuera a California, la mexicana?",recreation;mexico
Thomas Murillo,[00:30:55:04],"In 1930. Who's the movies come out to men and what the hell? Alone. You know, they, Looking back, I thought it was funny.","En 1930. ¿A quién le gustan las películas para hombres y qué demonios? Solos. Ya sabes, ellos. Mirando hacia atrás, me pareció gracioso.",
Angela Luckey,[00:31:09:05],"Well, when you when your family was shopping, did. Where did they shop? I mean.","Bueno, cuando tu familia iba de compras, ¿dónde compraban? O sea.",family;clothing
Thomas Murillo,[00:31:15:24],"Well, we shop...,","Bueno, disparamos,",
Thomas Murillo,[00:31:19:29],"The shopping, I remember, what the hell? J.C. Penney bought it. began here in this very white green room. I can move J.C. Penney from Myer. Is childhood. There was Mr. curious Store somehow or another. He's Italian. He. He glommed on the knowledge that, these people needed a special type of food.","Las compras, lo recuerdo, ¿qué demonios? J.C. Penney lo compró. Empezó aquí, en esta habitación verde blanquísima. Puedo trasladar a J.C. Penney de Myer. Es de la infancia. Estaba el Sr. Tienda Curiosa, por alguna razón. Es italiano. Él... Se aferró a la idea de que esta gente necesitaba un tipo de comida especial.",clothing;italy
Thomas Murillo,[00:32:02:14],items.,elementos.,
Angela Luckey,[00:32:04:15],Or imported Mexican.,O mexicano importado.,mexico
Thomas Murillo,[00:32:05:28],"Food. Yeah, yeah, because the only store in time after him. But he was knowledgeable about it. And, he, he made quite a bit of money from the white foods. I remember him delivering groceries from the dark place I'd been playing inside, searching for us. Conversation between the railroad and wooden fence all the way through. oh.","Comida. Sí, sí, porque era la única tienda en el tiempo después de él. Pero él sabía mucho del tema. Y, él, él ganó bastante dinero con la comida blanca. Lo recuerdo entregando comestibles desde el lugar oscuro donde yo había estado jugando, buscándonos. Conversación entre el ferrocarril y la cerca de madera todo el tiempo. Oh.",railroads and transportation
Thomas Murillo,[00:32:33:00],"What? first street and, Clark began, then came all the way down here to, I was taught street, along the railroad yards and inside the fence. The Mexicans lived on those houses, from, wires to, land inside the real property. And, there was a row of houses, a row of apartments, I should say.","¿Qué? Primero la calle y... —empezó Clark—, luego vino hasta aquí, según me enseñaron, junto a las vías del ferrocarril y dentro de la cerca. Los mexicanos vivían en esas casas, desde los cables hasta el terreno dentro de la propiedad. Y había una hilera de casas, una hilera de apartamentos, mejor dicho.",railroads and transportation
Thomas Murillo,[00:33:12:18],"And, I think for families that was there. And at each end, there was on the south end, there was a big house and a couple of families, and then north and Black Road Farms that, a family lived there, and then a Greek guide. And then there was another small house north of that. Right. Close environment. So in there I was not sure when they are shopping at Mr. Shoe Store.","Y creo que para las familias que había allí. En cada extremo, en el sur, había una casa grande y un par de familias, y luego al norte, en Black Road Farms, donde vivía una familia, y luego un guía griego. Y luego había otra casa pequeña al norte de esa. Sí. Un entorno cerrado. Así que no estaba seguro de cuándo estaban comprando en la zapatería.",family;greece;environment;clothing
Thomas Murillo,[00:33:43:02],"And so he had regular deliveries there. And I remember you had the first pick up truck that I can remember. All metal is one of the sons and helping to lady and the rest of them like the Eastland store and block store were very the only ones I remember that, I'm sure at least one story, how long this country was there on the east side, between first and second on Center Street.","Y hacía entregas regulares allí. Recuerdo que tuviste la primera camioneta que recuerdo. Todo metal era de uno de los hijos y ayudaba a la señora. El resto, como la tienda Eastland y la tienda de bloques, eran los únicos que recuerdo, estoy seguro de que hay al menos una historia sobre cuánto tiempo estuvo este país en el lado este, entre la primera y la segunda calle en Center Street.",
Thomas Murillo,[00:34:14:21],"So, they were going there and that was going back that far. And then during the my high school years, blocks where I had families to trade here. And Joey thing where one question time to go rest and retreat to. And then it was it happens you know, talking about the Mexican people here back in the 20s, for example, there was a.","Así que iban allí, y eso se remontaba a tiempos remotos. Y luego, durante mis años de preparatoria, había bloques donde tenía familias que intercambiaban aquí. Y Joey tenía una hora de preguntas para descansar y retirarse. Y luego sucedió, ya sabes, hablando de los mexicanos aquí en los años 20, por ejemplo, había...",education;mexico
Thomas Murillo,[00:34:50:14],"There was a Juarez pool hall that was located on first and Lewis, across from the freight house. And there was, right across the street across Lewis. From the south side of Lewis was that row of that complex of wooden, rooms that was, the red light area and that was on the little side. And then on the Bonneville side of that block was this row of apartments.","Había un salón de billar Juárez ubicado en la Primera y Lewis, frente a la estación de carga. Y justo enfrente de Lewis. Desde el lado sur de Lewis estaba esa hilera de ese complejo de habitaciones de madera, que era la zona de prostitución, en el lado pequeño. Y luego, del lado de Bonneville, había una hilera de apartamentos.",recreation
Thomas Murillo,[00:35:27:02],"That was all, was surrounded by battling Mexican guys. And, what I started to see right there, on the corner of the Juarez pool and going from that's the south and 100 block of South first, going back to Center Street, the men across and the street going north on the first, or there was a barbershop, which was next Mexican.","Eso era todo. Estaba rodeado de mexicanos peleando. Y lo que empecé a ver ahí mismo, en la esquina de la piscina Juárez, y yendo desde ahí hacia el sur y la cuadra 100 de la Primera Sur, volviendo a la calle Center, los hombres al otro lado y la calle que iba hacia el norte por la Primera Sur, o había una barbería, que estaba al lado.",mexico;recreation
Thomas Murillo,[00:36:07:06],"And,","Y,",
Thomas Murillo,[00:36:12:15],"I think. I'm not sure, but there might be a little Mexican restaurant. The bar is full of that restaurant. It was a pool hall restaurant to, since I was drinking prohibition. But,","Creo. No estoy seguro, pero podría haber un pequeño restaurante mexicano. El bar está lleno de ese tipo de restaurantes. Era un restaurante de billar, ya que estaba bebiendo durante la prohibición. Pero,",mexico;recreation
Thomas Murillo,[00:36:35:16],There was no Mexicans in this town. At least sustain those two businesses.,No había mexicanos en este pueblo. Al menos mantén esos dos negocios.,
Angela Luckey,[00:36:45:22],So most of the people traded for the other Mexicans. Traded in them?,Así que la mayoría de la gente intercambió por los demás mexicanos. ¿Intercambiaron con ellos?,
Thomas Murillo,[00:36:49:21],"Oh, yeah. Sure. So. Well, today, of course, that's that's not true in those days. It was a sense of they traded water, they were treated based and where they had where the stock, where the merchandise. It was slows maybe in their price range and, styles that they liked in particular.","Ah, sí. Claro. Bueno, hoy, claro, eso no es cierto en aquella época. Se pensaba que comerciaban con agua, que se les trataba según dónde tenían el inventario, dónde la mercancía. Eran más lentos, quizás en su rango de precios y en los estilos que les gustaban en particular.",
Thomas Murillo,[00:37:23:10],"But yes, I remember that Eastland store, it was clothing stores going there. Quite few.","Pero sí, recuerdo aquella tienda Eastland. Había tiendas de ropa allí. Bastantes pocas.",clothing
Angela Luckey,[00:37:33:15],"Somebody told me that. Yeah. You knew, or the Chinese... The Chinese that somebody seems to me somebody told me that you knew about the Chinese and.","Alguien me lo dijo. Sí. Tú lo sabías, o los chinos aquí. Y, los chinos que alguien me dijo que sabías sobre los chinos y...",china
Thomas Murillo,[00:37:47:22],"Well, I know I know something about the Chinese and the Japanese. I was close to the to the Japanese, but. Yes, right there in that area, North first, where the fire company is now North first. And around the corner on center, there were several Chinese restaurants. and when I say seven, there might have been three.","Bueno, sé algo sobre los chinos y los japoneses. Estuve cerca de los japoneses, pero... Sí, justo ahí en esa zona, Norte Primero, donde ahora está la compañía de bomberos. Y a la vuelta de la esquina, en el centro, había varios restaurantes chinos. Y cuando digo siete, puede que fueran tres.",china;japan
Thomas Murillo,[00:38:15:15],"But then farther across the alley on the center, going east on center, there was the Keystone Cafe, which was Chinese. And of course, showing you how to cook is still there. That's Chinese. And, I think there was one on South First. Chinese, probably between Phoenix and Juarez, but then on second, North second, there were Chinese.","Pero luego, más allá del callejón en el centro, yendo hacia el este por el centro, estaba el Keystone Cafe, que era chino. Y, por supuesto, todavía hay demostraciones de cocina. Eso es chino. Y creo que había uno en la Primera Avenida Sur. Chino, probablemente entre Phoenix y Juárez, pero luego en la Segunda Avenida Norte, había chinos.",china
Thomas Murillo,[00:38:42:24],"In fact, there was there were quite a few Chinese moving. I remember them very well, quite a few Chinese. And then,","De hecho, había bastantes chinos mudándose. Los recuerdo muy bien, bastantes chinos. Y luego,",china
Thomas Murillo,[00:39:00:14],"kitty corner from where all those guys were, was another bunch of Chinese. And in fact, when they tore down the because I think it called Flatiron Building, something like that, that Rosa's used to run along, Hotel Avenue, the 600 block, going north.","En la esquina opuesta a donde estaban todos esos tipos, había otro grupo de chinos. Y de hecho, cuando derribaron el edificio Flatiron, creo que se llamaba así, por el que Rosa solía correr, en la Avenida Hotel, en la cuadra 600, hacia el norte.",china
Thomas Murillo,[00:39:26:03],"While the Chinese lived there, you know, brick building only they were torn down there. Used to get a big charge on looking, you know, other than that, tunnels that were in under those brick buildings. And of course, we were, from the spelling Fu Manchu time we could, you know, we could imagine all kinds of things going on.","Mientras los chinos vivían allí, ya sabes, solo que los edificios de ladrillo fueron demolidos. Solían cobrar una gran cantidad por mirar, ya sabes, aparte de eso, los túneles que había debajo de esos edificios de ladrillo. Y, por supuesto, nosotros, desde la época de Fu Manchú, podíamos imaginarnos todo tipo de cosas sucediendo.",china
Thomas Murillo,[00:39:49:12],"Certain buildings, they, they stayed on into, right up to the world, up to World War two because they were running the lotteries, right there in that one building that was on call. Clark. And the second was to park in the second. So right up until, beginning of World War two, those guys were still in business there, and I had, I know I had one friend that worked, I think Keystone, Petco.","Ciertos edificios se mantuvieron hasta la Segunda Guerra Mundial porque operaban las loterías, justo en ese edificio de guardia. Clark. Y el segundo era aparcar en el segundo. Así que hasta el comienzo de la Segunda Guerra Mundial, esos tipos seguían operando allí, y yo tenía un amigo que trabajaba, creo que en Keystone, Petco.",conflict;recreation
Thomas Murillo,[00:40:22:22],"When he came, he came to tell you he had to go to school, go to school to buy a little school. And, I mean, he was a big us, but he didn't know how to learn how to speak, English. So, you know, he had started in first grade there. It was tiring for me and my my big mouth.","Cuando llegó, vino a decirte que tenía que ir a la escuela, a comprar una escuelita. Y, bueno, era un tipo grande, pero no sabía hablar inglés. Así que, ya sabes, había empezado el primer grado allí. Fue agotador para mí y mi bocaza.",education
Thomas Murillo,[00:40:42:14],"I used to think the black kids calling people, those guys chinks and ching ching chong or something like that. And I remember I opened my big mouth once and knew him, hit me up and nothing happened. But after that I learned several of the things that you didn't see, the like with the blacks too, you know, you learned very, very early that, you know, see certain things even if you are stupid and, yeah, leave it at.","Solía ​​pensar que los chicos negros que llamaban a la gente, esos tipos chinos, ching ching chong o algo así. Y recuerdo que una vez abrí la boca y lo conocí, me llamó y no pasó nada. Pero después de eso aprendí varias cosas que no se veían, como con los negros también, sabes, aprendes muy, muy pronto a ver ciertas cosas incluso si eres estúpido y, sí, déjalo ahí.",
Thomas Murillo,[00:41:18:00],"Lee and I became good friends. yeah. And I guess because of the Keystone and the Shanghai's into the Chinese. guys, there in that area on the east side, I know my brother had a Chinese friend to, but, they, they were mostly here because of those restaurants, and there were no women. You know, that Exclusion act left them out.","Lee y yo nos hicimos buenos amigos. Sí. Y supongo que por el Keystone y la afición de Shanghái por lo chino. Chicos, allá en esa zona del este, sé que mi hermano también tenía un amigo chino, pero venían principalmente por esos restaurantes, y no había mujeres. Ya sabes, la Ley de Exclusión los excluyó.",china;family
Thomas Murillo,[00:41:55:13],"And, although the Japanese, you know, they're Japanese girls and went to the Bombay school with us. I don't know how that came about, because the Exclusion Act was aimed at them, too. But, yeah, I had a lot of Japanese friends who.","Y, aunque las japonesas, ya sabes, son chicas japonesas y fueron a la escuela de Bombay con nosotras. No sé cómo sucedió eso, porque la Ley de Exclusión también estaba dirigida a ellas. Pero sí, tenía muchas amigas japonesas que...",japan;education
Angela Luckey,[00:42:15:01],"You say you were talking about. You went to bar, was cooking. Tell me about your school life and speak English when you went to school?",Dices que hablabas de... Fuiste a un bar y cocinaste. Cuéntame sobre tu vida escolar y cómo hablabas inglés cuando ibas a la escuela.,education
Thomas Murillo,[00:42:26:17],"no, I doubt it, because, I guess I had to learn there, you know, I can't remember that far back, but I know what the heck. At home, we spoke Spanish much, my father. You see him saying that? No, no, you don't speak English in this house. You. You know, well, spoken like not in the house.","No, lo dudo, porque supongo que tuve que aprender allí, ¿sabes? No recuerdo tan atrás, pero qué demonios. En casa, mi padre hablaba mucho español. ¿Lo viste decir eso? No, no, aquí no se habla inglés. Tú... bueno, no se habla en casa.",family
Thomas Murillo,[00:42:49:00],"But when I went in my first grade, I had no idea how much. I couldn't know very much English if I had, you know, I was explosive because there are black kids around us and the Greeks and Italians. And so, in the Indian. So the French, so the so English was spoken in the neighborhood, but not not before I got into the Bible school.","Pero cuando entré a primer grado, no tenía ni idea de cuánto. No podría saber mucho inglés si lo hubiera sabido, ¿sabes?, era explosiva porque había niños negros a nuestro alrededor, griegos e italianos. Y también en la India. Se hablaba francés e inglés en el barrio, pero no antes de entrar en la escuela bíblica.",education;france;culture;religion
Thomas Murillo,[00:43:20:17],it was more chances.,Hubo más oportunidades.,
Angela Luckey,[00:43:22:03],Is that when you go to elementary school is.,¿Eso es cuando vas a la escuela primaria?,education
Thomas Murillo,[00:43:25:01],"Well, and, you know, the last year, which would have been, I think the fourth or fifth grade, we were, we were bussed. We were sent to Washington School because apparently the one school was filled. And so there we go. Bunch of Mexican kids and black kids and Chinese and Greek kids and the talented, oh, this great mix that have at the bottom.","Bueno, y, ya sabes, el último año, creo que en cuarto o quinto grado, nos enviaron en autobús. Nos enviaron a la Escuela Washington porque, al parecer, la única escuela estaba llena. Y ahí estábamos. Un montón de niños mexicanos, negros, chinos, griegos y los talentosos... ¡Ah, esa gran mezcla que tenemos en la base!",education;mexico;china;greece
Thomas Murillo,[00:43:57:07],"You know, we had to go to Washington, Washington Lord and the lawyers and the college professors, doctors, kids went to school, I guess, were forced upon that school. And I remember Mrs. Cross called from the first saying she didn't was the first, and we were not welcome. And, it was talk about culture shock and, it was,","Sabes, tuvimos que ir a Washington, Washington Lord, y los abogados, profesores universitarios, médicos, los niños fueron a la escuela, supongo, fueron obligados a ir a esa escuela. Y recuerdo que la Sra. Cross llamó desde el principio diciendo que no era la primera, y que no éramos bienvenidos. Y se habló de choque cultural y, fue...",education;culture
Thomas Murillo,[00:44:30:23],"It was pretty rough first, but, I love that. And I cannot be get pretty good grades in the Kaiser Chiefs, talk. And so she, I think she would lose favor on me. She wouldn't. She wouldn't, as hostile to me as she was the rest of guys, I, you know, I found out that, you know, that one of the schools, really, these are the mixture, nationalities and and, you Asian colors and all that stuff.","Al principio fue bastante duro, pero me encanta. Y no puedo sacar buenas notas en los Kaiser Chiefs, por así decirlo. Así que creo que ella me perdería el favor. No lo haría. No lo haría, a pesar de su hostilidad hacia mí, como hacia los demás chicos. Descubrí que en una de las escuelas, la verdad, se trata de la mezcla de nacionalidades y colores asiáticos y todo eso.",
Thomas Murillo,[00:45:14:26],"I know this is unusual for this country, after all. This is more of a country. And at that time, more we were all white. And, here we were that that school over there was just about anything was being, and, it was so unusual when Mr. Spring's principal put together a radio program. Musical. Everybody, everybody that this the same song in your country that they or their parents couldn't afford the key.","Sé que esto es inusual en este país, después de todo. Es más, es un país. Y en ese entonces, éramos casi todos blancos. Y ahí estábamos, en esa escuela de allá, donde se hacía de todo, y fue tan inusual cuando el director del Sr. Spring organizó un programa de radio. Un musical. Todos, todos, escuchaban la misma canción en su país, y ellos o sus padres no podían pagar la clave.",education;technology
Thomas Murillo,[00:45:50:09],Not quite popular. You go around from. Civic clubs to churches putting on that program. So it was highly unusual.,No es muy popular. Se organizaba en clubes cívicos e iglesias. Así que era muy inusual.,
Angela Luckey,[00:46:01:18],Did you sing a song?,¿Cantaste una canción?,
Thomas Murillo,[00:46:03:02],"Yeah. from my mama. Mama and I. It is dead now, we say. Right, the song. I don't remember what it was. And, Socorro. Ernestine. Mildred, Socorro was, more yellow here. and they sang this song. No, she just sang a song by herself. So, I don't I don't it was supposed to represent Spanish.","Sí. De mi mamá. Mamá y yo. Ya no sirve, decimos. Sí, la canción. No recuerdo cuál era. Y, Socorro. Ernestine. Mildred, Socorro era, más amarilla aquí. Y cantaban esta canción. No, solo cantaba una canción ella sola. Así que, no sé, no sé, se suponía que representaba el español.",
Angela Luckey,[00:46:32:20],"Was called the by, not.","Fue llamado el por, no.",
Thomas Murillo,[00:46:36:25],"and, you know, kids sang in Japanese and Chinese and German. And also going with, but that was, that was indicative of what an unusual school at that part. There were, I don't remember any incidents of, racial problems, with the exception of one time guy told me that I couldn't drink out of the farm water, and the other kids were drinking because I'm Mexican, but, I, I to remember he was an older guy.","Y, ya sabes, los niños cantaban en japonés, chino y alemán. Y eso era indicativo de lo inusual que era la escuela en esa zona. No recuerdo ningún incidente de problemas raciales, salvo una vez que un chico me dijo que no podía beber agua de la granja, y los otros chicos bebían porque soy mexicano, pero, recuerdo que era un chico mayor.",japan;china;germany;education;mexico
Thomas Murillo,[00:47:15:28],"What he was doing on the school grounds would be on me, and I think he was trying to be smarter about that. But certainly in that school, you know, I saw no distinction at all made by the teachers. I think there was quite unusual also that those teachers should be so, very minor. After all, it was not common to have that many, different kids.","Lo que él hacía en el colegio me incumbía, y creo que intentaba ser más astuto. Pero, desde luego, en esa escuela, ¿sabes?, no vi ninguna distinción entre los profesores. Creo que también era bastante inusual que esos profesores fueran tan insignificantes. Después de todo, no era común tener tantos alumnos diferentes.",education
Thomas Murillo,[00:47:45:06],"Of people of any kind in one school in this area here. Because and, yeah, I, I certainly remember that, the Mrs. Woods. Mrs... Woods out a great big gold wedding band, and boy, we used to don't like to class. She'd come down and she would, monkey on the head with that thing. I used to a few ways.","De gente de cualquier tipo en una escuela de esta zona. Porque sí, sí, recuerdo perfectamente a la Sra. Woods. La Sra.... saca un enorme anillo de bodas de oro, y vaya, antes no nos gustaba ir a clase. Ella venía y se daba un golpe en la cabeza con esa cosa. Yo solía hacerlo de varias maneras.",education;family
Thomas Murillo,[00:48:15:22],"A very going through my head. But you. I mean, there was no, there was no favoritism in a group class if you misbehaved, didn't matter. What the hell you were. As far as the skin when she laid that attitude and she taught this, I think she taught everybody in my in my family, including, you know, the sister, because she was very close to very well-liked lady.","Me pasó por la cabeza. Pero tú... O sea, no había favoritismo en una clase grupal, si te portabas mal, no importaba. Qué demonios eras. En cuanto a la piel, cuando ella puso esa actitud y enseñó esto, creo que se lo enseñó a todos en mi familia, incluyendo, ya sabes, a mi hermana, porque era muy cercana a una señora muy querida.",family
Angela Luckey,[00:48:42:16],She knew. Where did you go in the high school.,Ella lo sabía. ¿A dónde fuiste en la escuela secundaria?,education
Thomas Murillo,[00:48:45:24],"Hotel High school. That's the other way to do that was quite community experience, I think. I suppose everybody but, there were only two, two of these Mexicans in that class that I was interested in a steamer in. I graduated same class. Again, there was, Well, I'd seen her in the seniors pictures in my yearbook of her being a member of a couple of, organizations.","Hotel High School. Esa es la otra forma de hacerlo, creo que fue una experiencia bastante comunitaria. Supongo que todos, pero solo había dos mexicanos en esa clase que me interesaban por un barco de vapor. Me gradué de la misma clase. De nuevo, había... Bueno, la había visto en las fotos de los estudiantes de último año en mi anuario, donde aparecía como miembro de un par de organizaciones.",education
Thomas Murillo,[00:49:18:27],"I belonged to them that way to the state. and, so I, a few as, as I had, take part in the social, in many social activities, and I, tried, football, but I was too small. I get the hell out of me, or I don't feel I still have that because I'm Marshall Bogan hiding from the group, and I'm sure he spent a whole year playing because of it.","De esa manera, pertenecía a ellos, al estado. Y así, algunos de los que tenía, participaban en muchas actividades sociales, e intenté jugar al fútbol, ​​pero era demasiado pequeño. Me largué, o no siento que aún lo tenga porque soy Marshall Bogan, escondiéndose del grupo, y estoy seguro de que pasó un año entero jugando por eso.",
Thomas Murillo,[00:49:52:00],"And now, in 1981, it finally flared up on you and covered in a lot of pain. But, I, and as I said, I weighed 127 pounds in my senior year, and I, I couldn't do, I couldn't do as well as I would like to in, football anyway. But I took part in criminal sports. They had the social activities, of course.","Y ahora, en 1981, finalmente se agravó y te llenó de mucho dolor. Pero, como dije, pesaba 57 kilos en mi último año, y, de todas formas, no podía jugar al fútbol americano tan bien como me hubiera gustado. Pero participaba en deportes delictivos. Tenían actividades sociales, claro.",health;recreation
Thomas Murillo,[00:50:23:03],"Like, almost. I was a part of, I was, I suppose I was living a dual life then, just like I did later, and I did with it. Heck, you know, during the day, I was a student with all the virtues. And after school. All right, became. Excuse me. That's what it was. because through my, high school, I didn't, I didn't cross the street.","Casi. Era parte de, supongo que vivía una doble vida entonces, igual que después, y lo hice con ella. De día, era un estudiante con todas las virtudes. Y después de la escuela... Bueno, me convertí. Disculpa. Eso fue. Porque durante la secundaria, no cruzaba la calle.",education
Thomas Murillo,[00:50:54:19],"I didn't automatically draw a line. You know, the Mexicans.","No tracé una línea automáticamente. Ya sabes, los mexicanos.",
Angela Luckey,[00:50:58:09],You.,Tú.,
Thomas Murillo,[00:50:58:26],"Whites. I had quite a few white friends. only one of them was social. I was still in school House, but the rest of them, I didn't know, and then I. I was not an outcast. So I had a lot of friends with the most guys. This guy. Hello, Steve Bachelor who who is a justice Supreme Court good friend.","Blancos. Tenía bastantes amigos blancos. Solo uno era sociable. Yo todavía estaba en la escuela, pero a los demás no los conocía, y luego yo... No era un paria. Así que tenía muchos amigos con la mayoría de los chicos. Este chico... Hola, Steve Bachelor, que es un buen amigo de la Corte Suprema.",education
Thomas Murillo,[00:51:25:29],"You know, even after, after.","Ya sabes, incluso después, después.",
Thomas Murillo,[00:51:32:04],"That he was always very friendly. well, he had reason to, like, saved you from getting his blood, but, like a guy who's going slugging had to come by. And I was a friend of the guy that was going to slowly. He's a big guy. And one of those rough roughnecks. You know, Steve was about to be a, fighter.","Siempre fue muy amable. Bueno, tenía motivos para, por ejemplo, salvarte de su sangre, pero un tipo que iba a dar golpes tenía que pasar. Y yo era amigo del tipo que iba a... lentamente. Es un tipo grande. Y uno de esos rudos. Sabes, Steve estaba a punto de ser un luchador.",
Thomas Murillo,[00:52:02:11],"Anyway, I to talk the guy out of. Fighting with Steve. And so after that, you know Steve, of many people who were good friends over the last 40, but, the. No, I was not a part of the social activities of who did I speak at all? Because, you know.","Bueno, yo para convencer al tipo de que no se peleara con Steve. Y después de eso, ya sabes, Steve, de muchas personas que fueron buenos amigos durante los últimos 40, pero... No, no participé en las actividades sociales de ¿con quién hablé? Porque, ya sabes.",
Angela Luckey,[00:52:25:24],I go to a number with this. Mexican kids had opportunities to hold officers and I cheerleaders.,Voy a un número con esto. Los niños mexicanos tuvieron oportunidades de sostener a los oficiales y yo a las porristas.,mexico
Thomas Murillo,[00:52:33:14],"And it's, at that time, I can't.",Y es que en ese momento no puedo.,
Thomas Murillo,[00:52:39:01],"I can't say that because I'm problem. There's only two of us there now. I think that, let's see. Junior third. I was a freshman. I, they were all sophomores. I don't remember any, I don't remember any in the junior class. So there were so few of us that, it, it, I, I, I don't.","No puedo decir eso porque tengo un problema. Solo quedamos dos ahora. Creo que, a ver. Tercero de penúltimo año. Yo era de primer año. Todos eran de segundo año. No recuerdo a ninguno, no recuerdo a ninguno de penúltimo año. Así que éramos tan pocos que... bueno, bueno, no...",
