speaker,timestamp,translation,words,tags
Thomas Murillo,[00;25;36;25],"And, here I couldn't, like, managed to keep this book in its own sheet metal sheet metal fabrication in Spanish. But interesting to me that I should have that damn book after my experience my job. but they were some of the others that I remember, kind of, it's not fair to call them propaganda from, any government puts out literature telling them the type of improvements and the advancements and things like that.","Y aquí no pude, como, lograr mantener este libro en su propia fabricación de lámina de metal en español. Pero es interesante para mí tener ese maldito libro después de mi experiencia en mi trabajo. pero fueron algunos de los otros que recuerdo, no es justo llamarlos propaganda, cualquier gobierno publica literatura diciéndoles el tipo de mejoras y avances y cosas así.",labor;economy
Thomas Murillo,[00;26;12;00],"The one thing that I remember had to do was maybe agriculture or water preservation, something along that line. Those are the ones that I remember, the terror others.","Lo único que recuerdo que tenía que hacer era tal vez la agricultura o la preservación del agua, algo por el estilo. Esos son los que recuerdo, los de terror otros.",agriculture;food and drink;negative emotions
Angela Luckey,[00;26;28;01],Those books that man that taught. Was he the one that brought those?,Esos libros que el hombre que enseñó. ¿Fue él quien los trajo?,recreation
Thomas Murillo,[00;26;32;04],"No, no, they were sent to the to that club. The crews are still on tours and they were blue cross translates as the Blue Cross.","No, no, fueron enviados a ese club. Las tripulaciones todavía están de gira y la cruz azul se traduce como Cruz Azul.",
Angela Luckey,[00;26;45;02],And your dad was one of the officers?,¿Y tu papá era uno de los oficiales?,
Thomas Murillo,[00;26;47;15],"Yeah, yeah.","Sí, sí.",
Angela Luckey,[00;26;48;19],Do you remember who was president? And then remember anyone who was present?,¿Recuerdas quién fue presidente? ¿Y luego recuerdas a alguien que estuvo presente?,
Thomas Murillo,[00;26;59;05],"no, I don't, another man, very intelligent man. Management was the unknown. So he was one of the officers in the club, he's the only one that I can remember.","No, no lo sé, otro hombre, un hombre muy inteligente. La dirección era la incógnita. Entonces él era uno de los oficiales del club, es el único que puedo recordar.",
Angela Luckey,[00;27;15;29],"Well, I Mexicans treated and, you in those days.","Bueno, yo los trataban los mexicanos y tú en aquellos días.",
Thomas Murillo,[00;27;20;06],"Well,","Bien,",
Thomas Murillo,[00;27;25;22],"By and large, I think, there was, What, discrimination or prejudice that there was here wasn't too apparent because, We Mexicans socialized among ourselves, as I say, with social club. Like I mentioned, they made dances. And, there were always weddings and baptisms and even the, wakes for the funerals. What? They all were social activities.","En general creo que había, qué, discriminación o prejuicio que había aquí no era muy evidente porque, los mexicanos socializábamos entre nosotros, como digo, con club social. Como mencioné, hicieron bailes. Y siempre había bodas y bautizos e incluso velorios para los funerales. ¿Qué? Todas ellas eran actividades sociales.",migration
Thomas Murillo,[00;28;04;08],"And, for example, the dances. What the heck? I'm I'm a lover of music. And certainly we had the music to dance to, which meant that we didn't have to go, to, try and get into the, the watch, the dances where we were go out. Anyway, we knew that, but it didn't make any difference because what did we need from them in the way of social activities when we had our own, which were that is nice is there's, and food was served.","Y, por ejemplo, los bailes. ¿Que demonios? Soy soy un amante de la música. Y ciertamente teníamos la música para bailar, lo que significaba que no teníamos que ir, tratar de entrar en el reloj, los bailes donde salíamos. De todos modos, lo sabíamos, pero no hizo ninguna diferencia porque, ¿qué necesitábamos de ellos en cuanto a actividades sociales cuando teníamos las nuestras, que eran agradables y se servía comida?",culture
Thomas Murillo,[00;28;39;11],"The Mexican food and the music was Mexican women were amazing. So what the hell did we need from them? But certainly the the discrimination prejudice existed in, in housing and jobs. yeah. I myself turned down for two jobs, told very explicitly because I was a Mexican. I couldn't have those jobs. refused entrance into the YMCA swimming pool, even though my father and all the rest of railroad employees contributed some, like a dollar or $2 a month to to, subsidy of that YMCA.","La comida mexicana y la música, las mujeres mexicanas eran increíbles. Entonces, ¿qué diablos necesitábamos de ellos? Pero ciertamente el prejuicio de discriminación existía en la vivienda y el empleo. sí. Yo mismo rechacé dos trabajos, lo dije muy explícitamente porque era mexicano. No podría tener esos trabajos. Me negaron la entrada a la piscina de la YMCA, a pesar de que mi padre y el resto de los empleados del ferrocarril contribuyeron con algo, como un dólar o dos dólares al mes, al subsidio de esa YMCA.",culture;family;migration;economy
Thomas Murillo,[00;29;29;13],"and, those kind of things. one of the one of the things I'm so funny to is even now, in 1932, when I went to drinks to pick peas, I remember the one one of the Mexicans basically dances on Saturday nights and drinks the Mexicans did. But I remember that the American girls would go to, you know, a little rather more of a community.","y ese tipo de cosas. Una de las cosas que me hacen tanta gracia es que incluso ahora, en 1932, cuando iba a tomar algo a recoger guisantes, recuerdo que uno de los mexicanos básicamente bailaba los sábados por la noche y los mexicanos bebían. Pero recuerdo que las chicas americanas iban a, ya sabes, una comunidad un poco más amplia.",
Thomas Murillo,[00;29;59;10],"The girls would go, but they wouldn't dance with the Mexican, you see. They would dance with the Filipinos. There were always in those camps. The Filipinos came in California to see, and they always dressed real flashy, you know, and they always had news cars because maybe 4 or 5 guys would chip in by car. You could and they they were always dressed real fine, those guys.","Las chicas irían, pero no bailarían con el mexicano, ya ves. Bailarían con los filipinos. Siempre los hubo en esos campos. Los filipinos venían a California para ver, y siempre vestían muy llamativos, ya sabes, y siempre tenían autos nuevos porque tal vez 4 o 5 tipos colaboraban en el auto. Se podía y esos tipos siempre iban muy bien vestidos.",recreation
Thomas Murillo,[00;30;24;21],"And so the American girls would dance with them, they go in with vixens. And I thought it was funny or, you know, they weren't until, the latter years that I went to 1936, that they, you know, the, the assimilation began to take place because inevitably, the end of their pieces and why there would be at least one American girls and take off to California, the Mexican.","Y entonces las chicas americanas bailaban con ellos, entraban con zorras. Y pensé que era gracioso o, ya sabes, no lo fueron hasta los últimos años en que fui a 1936, que ellos, ya sabes, la asimilación comenzó a tener lugar porque inevitablemente, el final de sus piezas y por qué Habría al menos una chica americana y se iría a California, la mexicana.",
Thomas Murillo,[00;30;55;04],"In 1930. Who's the movies come out to men and what the hell? Alone. You know, they, Looking back, I thought it was funny.","En 1930. ¿Quiénes son las películas que les salen a los hombres y qué diablos? Solo. Ya sabes, ellos, mirando hacia atrás, pensé que era divertido.",
Angela Luckey,[00;31;09;05],"Well, when you when your family was shopping, did. Where did they shop? I mean.","Bueno, cuando tú, cuando tu familia estaba de compras, lo hiciste. ¿Dónde compraron? Quiero decir.",family
Thomas Murillo,[00;31;15;24],"Well, we shot,","Bueno, disparamos",
Thomas Murillo,[00;31;19;29],"The shopping, I remember, what the hell? J.C. Penney bought it. began here in this very white green room. I can move J.C. Penney from Myer. Is childhood. There was Mr. curious Store somehow or another. He's Italian. He. He glommed on the knowledge that, these people needed a special type of food.","Las compras, lo recuerdo, ¿qué carajos? JC Penney lo compró. comenzó aquí en esta habitación verde muy blanca. Puedo trasladar a J.C. Penney de Myer. Es la infancia. Allí estaba el Sr. Tienda curioso de una manera u otra. El es italiano. Él. Se alegraba de saber que estas personas necesitaban un tipo especial de comida.",education
Thomas Murillo,[00;32;02;14],items.,elementos.,
Angela Luckey,[00;32;04;15],Or imported Mexican.,O importado mexicano.,
Thomas Murillo,[00;32;05;28],"Food. Yeah, yeah, because the only store in time after him. But he was knowledgeable about it. And, he, he made quite a bit of money from the white foods. I remember him delivering groceries from the dark place I'd been playing inside, searching for us. Conversation between the railroad and wooden fence all the way through. oh.","Alimento. Sí, sí, porque la única tienda en el tiempo después de él. Pero él estaba bien informado al respecto. Y él ganó bastante dinero con los alimentos blancos. Lo recuerdo entregando comestibles desde el lugar oscuro en el que había estado jugando, buscándonos. Conversación entre el ferrocarril y la valla de madera hasta el final. Vaya.",
Thomas Murillo,[00;32;33;00],"What? first street and, Clark began, then came all the way down here to, I was taught street, along the railroad yards and inside the fence. The Mexicans lived on those houses, from, wires to, land inside the real property. And, there was a row of houses, a row of apartments, I should say.","¿Qué? Primero la calle y, comenzó Clark, luego vino hasta aquí, me enseñaron la calle, a lo largo de los patios del ferrocarril y dentro de la cerca. Los mexicanos vivían en esas casas, desde, cables hasta, terrenos dentro de los inmuebles. Y había una hilera de casas, una hilera de apartamentos, debería decir.",agriculture
Thomas Murillo,[00;33;12;18],"And, I think for families that was there. And at each end, there was on the south end, there was a big house and a couple of families, and then north and Black Road Farms that, a family lived there, and then a Greek guide. And then there was another small house north of that. Right. Close environment. So in there I was not sure when they are shopping at Mr. Shoe Store.","Y creo que para las familias eso estaba ahí. Y en cada extremo, en el extremo sur, había una casa grande y un par de familias, y luego al norte y Black Road Farms, allí vivía una familia, y luego un guía griego. Y luego había otra pequeña casa al norte de esa. Bien. Entorno cercano. Entonces no estaba seguro de cuándo estaban comprando en Mr. Shoe Store.",family;clothing
Thomas Murillo,[00;33;43;02],"And so he had regular deliveries there. And I remember you had the first pick up truck that I can remember. All metal is one of the sons and helping to lady and the rest of them like the Eastland store and block store were very the only ones I remember that, I'm sure at least one story, how long this country was there on the east side, between first and second on Center Street.","Y por eso tenía entregas regulares allí. Y recuerdo que tuviste la primera camioneta que puedo recordar. All metal es uno de los hijos y ayuda a la dama y el resto de ellos, como la tienda Eastland y la tienda de bloques, fueron los únicos. Recuerdo eso, estoy seguro de que al menos una historia, cuánto tiempo estuvo este país allí en el este. de lado, entre primera y segunda en Center Street.",labor;family
Thomas Murillo,[00;34;14;21],"So, they were going there and that was going back that far. And then during the my high school years, blocks where I had families to trade here. And Joey thing where one question time to go rest and retreat to. And then it was it happens you know, talking about the Mexican people here back in the 20s, for example, there was a.","Entonces, iban allí y eso se remontaba tan lejos. Y luego, durante mis años de escuela secundaria, cuadras donde tenía familias para comerciar aquí. Y Joey tenía un turno de preguntas para descansar y retirarse. Y luego sucedió, ya sabes, hablando de los mexicanos aquí en los años 20, por ejemplo, había un.",education
Thomas Murillo,[00;34;50;14],"There was a Juarez pool hall that was located on first and Lewis, across from the freight house. And there was, right across the street across Lewis. From the south side of Lewis was that row of that complex of wooden, rooms that was, the red light area and that was on the little side. And then on the Bonneville side of that block was this row of apartments.","Había un salón de billar en Juárez que estaba ubicado en First y Lewis, frente a la casa de carga. Y allí estaba, justo al otro lado de la calle, al otro lado de Lewis. Desde el lado sur de Lewis estaba esa fila de ese complejo de habitaciones de madera, que era el área de luz roja y que estaba en el lado pequeño. Y luego, en el lado Bonneville de ese bloque estaba esta hilera de apartamentos.",happiness
Thomas Murillo,[00;35;27;02],"That was all, was surrounded by battling Mexican guys. And, what I started to see right there, on the corner of the Juarez pool and going from that's the south and 100 block of South first, going back to Center Street, the men across and the street going north on the first, or there was a barbershop, which was next Mexican.","Eso era todo, estaba rodeado de luchadores mexicanos. Y lo que comencé a ver ahí mismo, en la esquina de la piscina Juárez y yendo desde allí es el sur y la cuadra 100 del sur primero, regresando a Center Street, los hombres al otro lado y la calle que va hacia el norte en la primera, o allí Era una barbería, que era la siguiente mexicana.",
Thomas Murillo,[00;36;07;06],"And,","Y,",
Thomas Murillo,[00;36;12;15],"I think. I'm not sure, but there might be a little Mexican restaurant. The bar is full of that restaurant. It was a pool hall restaurant to, since I was drinking prohibition. But,","Creo. No estoy seguro, pero puede que haya un pequeño restaurante mexicano. El bar está lleno de ese restaurante. Era un restaurante de salón de billar, ya que estaba bebiendo prohibición. Pero,",
Thomas Murillo,[00;36;35;16],There was no Mexicans in this town. At least sustain those two businesses.,No había mexicanos en este pueblo. Al menos sostener esos dos negocios.,
Angela Luckey,[00;36;45;22],So most of the people traded for the other Mexicans. Traded in them?,Entonces la mayoría de la gente intercambió por los otros mexicanos. ¿Negociados con ellos?,
Thomas Murillo,[00;36;49;21],"Oh, yeah. Sure. So. Well, today, of course, that's that's not true in those days. It was a sense of they traded water, they were treated based and where they had where the stock, where the merchandise. It was slows maybe in their price range and, styles that they liked in particular.","Oh sí. Seguro. Entonces. Bueno, hoy, por supuesto, eso no es cierto en aquellos días. Era una sensación de que comerciaban con agua, eran tratados en base a dónde tenían el stock, dónde la mercancía. Tal vez fue lento en su rango de precios y estilos que les gustaron en particular.",education;food and drink;economy
Thomas Murillo,[00;37;23;10],"But yes, I remember that Eastland store, it was clothing stores going there. Quite few.","Pero sí, recuerdo esa tienda de Eastland, allí había tiendas de ropa. Muy pocos.",
Angela Luckey,[00;37;33;15],"Somebody told me that. Yeah. You knew, or the Chinese on the ground here. And, the Chinese that somebody seems to me somebody told me that you knew about the Chinese and.","Alguien me dijo eso. Sí. Tú lo sabías, o los chinos que están aquí. Y, los chinos que alguien me parece que alguien me dijo que sabías de los chinos y.",
Thomas Murillo,[00;37;47;22],"Well, I know I know something about the Chinese and the Japanese. I was close to the to the Japanese, but. Yes, right there in that area, North first, where the fire company is now North first. And around the corner on center, there were several Chinese restaurants. and when I say seven, there might have been three.","Bueno, sé algo sobre los chinos y los japoneses. Estaba cerca de los japoneses, pero. Sí, justo ahí en esa zona, primero el Norte, donde ahora la compañía de bomberos está primero el Norte. Y a la vuelta de la esquina, en el centro, había varios restaurantes chinos. y cuando digo siete, podrían haber sido tres.",happiness
Thomas Murillo,[00;38;15;15],"But then farther across the alley on the center, going east on center, there was the Keystone Cafe, which was Chinese. And of course, showing you how to cook is still there. That's Chinese. And, I think there was one on South First. Chinese, probably between Phenix and Juarez, but then on second, North second, there were Chinese.","Pero luego, al otro lado del callejón en el centro, hacia el este por el centro, estaba el Keystone Café, que era chino. Y, por supuesto, todavía está ahí mostrarte cómo cocinar. Eso es chino. Y creo que había uno en South First. Chinos, probablemente entre Phenix y Juárez, pero en segundo lugar, en segundo lugar Norte, estaban los chinos.",education
Thomas Murillo,[00;38;42;24],"In fact, there was there were quite a few Chinese moving. I remember them very well, quite a few Chinese. And then,","De hecho, hubo bastantes chinos moviéndose. Los recuerdo muy bien, bastantes chinos. Y luego,",
Thomas Murillo,[00;39;00;14],"kitty corner from where all those guys were, was another bunch of Chinese. And in fact, when they tore down the because I think it called Flatiron Building, something like that, that Rosa's used to run along, Hotel Avenue, the 600 block, going north.","En la esquina de Kitty, donde estaban todos esos tipos, había otro grupo de chinos. Y de hecho, cuando derribaron el porque creo que se llamaba Flatiron Building, algo así, por el que solía correr Rosa, Hotel Avenue, la cuadra 600, hacia el norte.",
Thomas Murillo,[00;39;26;03],"While the Chinese lived there, you know, brick building only they were torn down there. Used to get a big charge on looking, you know, other than that, tunnels that were in under those brick buildings. And of course, we were, from the spelling Fu Manchu time we could, you know, we could imagine all kinds of things going on.","Mientras los chinos vivían allí, ya sabes, los edificios de ladrillo solo fueron derribados allí. Solía ​​cobrar mucho por mirar, ya sabes, aparte de eso, túneles que estaban debajo de esos edificios de ladrillo. Y, por supuesto, desde la época de la ortografía de Fu Manchú podíamos, ya sabes, podíamos imaginar todo tipo de cosas sucediendo.",education
Thomas Murillo,[00;39;49;12],"Certain buildings, they, they stayed on into, right up to the world, up to World War two because they were running the lotteries, right there in that one building that was on call. Clark. And the second was to park in the second. So right up until, beginning of World War two, those guys were still in business there, and I had, I know I had one friend that worked, I think Keystone, Petco.","Ciertos edificios en los que permanecieron, hasta el mundo, hasta la Segunda Guerra Mundial, porque estaban ejecutando las loterías, allí mismo, en ese edificio que estaba de guardia. Clark. Y lo segundo fue aparcar en el segundo. Entonces, hasta el comienzo de la Segunda Guerra Mundial, esos tipos todavía estaban en el negocio allí, y yo tenía, sé que tenía un amigo que trabajaba, creo que Keystone, Petco.",conflict;economy
Thomas Murillo,[00;40;22;22],"When he came, he came to tell you he had to go to school, go to school to buy a little school. And, I mean, he was a big us, but he didn't know how to learn how to speak, English. So, you know, he had started in first grade there. It was tiring for me and my my big mouth.","Cuando vino, vino a decirte que tenía que ir a la escuela, ir a la escuela a comprar una escuelita. Y, quiero decir, él era un gran nosotros, pero no sabía cómo aprender a hablar inglés. Entonces, ya sabes, había comenzado allí en primer grado. Fue agotador para mí y mi bocaza.",education
Thomas Murillo,[00;40;42;14],"I used to think the black kids calling people, those guys chinks and ching ching chong or something like that. And I remember I opened my big mouth once and knew him, hit me up and nothing happened. But after that I learned several of the things that you didn't see, the like with the blacks too, you know, you learned very, very early that, you know, see certain things even if you are stupid and, yeah, leave it at.","Solía ​​pensar que los niños negros llamaban a la gente, esos tipos chinos y ching ching chong o algo así. Y recuerdo que una vez abrí mi bocaza y lo conocí, me pegué y no pasó nada. Pero después de eso aprendí varias de las cosas que no viste, como con los negros también, ya sabes, aprendiste muy, muy temprano que, ya sabes, ver ciertas cosas incluso si eres estúpido y, sí, irte. es a.",
Thomas Murillo,[00;41;18;00],"Lee and I became good friends. yeah. And I guess because of the Keystone and the Shanghai's into the Chinese. guys, there in that area on the east side, I know my brother had a Chinese friend to, but, they, they were mostly here because of those restaurants, and there were no women. You know, that Exclusion act left them out.","Lee y yo nos hicimos buenos amigos. sí. Y supongo que por Keystone y Shanghai hacia los chinos. Chicos, allí en esa zona del lado este, sé que mi hermano tenía un amigo chino, pero ellos estaban aquí principalmente por esos restaurantes y no había mujeres. Ya sabes, esa ley de exclusión los dejó fuera.",family
Thomas Murillo,[00;41;55;13],"And, although the Japanese, you know, they're Japanese girls and went to the Bombay school with us. I don't know how that came about, because the Exclusion Act was aimed at them, too. But, yeah, I had a lot of Japanese friends who.","Y, aunque las japonesas, ya sabes, son chicas japonesas y fueron a la escuela de Bombay con nosotros. No sé cómo surgió eso, porque la Ley de Exclusión también estaba dirigida a ellos. Pero sí, tenía muchos amigos japoneses que.",education
Angela Luckey,[00;42;15;01],"You say you were talking about. You went to bar, was cooking. Tell me about your school life and speak English when you went to school?","Dices que estabas hablando. Fuiste al bar, estabas cocinando. ¿Cuéntame sobre tu vida escolar y hablabas inglés cuando ibas a la escuela?",education
Thomas Murillo,[00;42;26;17],"no, I doubt it, because, I guess I had to learn there, you know, I can't remember that far back, but I know what the heck. At home, we spoke Spanish much, my father. You see him saying that? No, no, you don't speak English in this house. You. You know, well, spoken like not in the house.","No, lo dudo, porque supongo que tuve que aprender allí, ya sabes, no recuerdo tan atrás, pero sé qué diablos. En casa hablábamos mucho español, mi padre. ¿Lo ves diciendo eso? No, no, no se habla inglés en esta casa. Tú. Ya sabes, bueno, se habla como si no en casa.",family
Thomas Murillo,[00;42;49;00],"But when I went in my first grade, I had no idea how much. I couldn't know very much English if I had, you know, I was explosive because there are black kids around us and the Greeks and Italians. And so, in the Indian. So the French, so the so English was spoken in the neighborhood, but not not before I got into the Bible school.","Pero cuando fui a primer grado, no tenía idea de cuánto. No podría saber mucho inglés si lo supiera, ya sabes, fui explosivo porque hay niños negros a nuestro alrededor y griegos e italianos. Y así, en el indio. En el vecindario se hablaba tanto francés como inglés, pero no antes de que yo ingresara a la escuela bíblica.",education
Thomas Murillo,[00;43;20;17],it was more chances.,fueron más oportunidades.,
Angela Luckey,[00;43;22;03],Is that when you go to elementary school is.,Es que cuando vas a la escuela primaria es.,education
Thomas Murillo,[00;43;25;01],"Well, and, you know, the last year, which would have been, I think the fourth or fifth grade, we were, we were bussed. We were sent to Washington School because apparently the one school was filled. And so there we go. Bunch of Mexican kids and black kids and Chinese and Greek kids and the talented, oh, this great mix that have at the bottom.","Bueno, y, ya sabes, el último año, que habría sido, creo, en cuarto o quinto grado, nos llevaron en autobús. Nos enviaron a la escuela Washington porque aparentemente esa escuela estaba llena. Y ahí vamos. Un montón de niños mexicanos y niños negros y niños chinos y griegos y los talentosos, oh, esta gran mezcla que tienen en el fondo.",education
Thomas Murillo,[00;43;57;07],"You know, we had to go to Washington, Washington Lord and the lawyers and the college professors, doctors, kids went to school, I guess, were forced upon that school. And I remember Mrs. Cross called from the first saying she didn't was the first, and we were not welcome. And, it was talk about culture shock and, it was,","Sabes, tuvimos que ir a Washington, Washington Lord y los abogados y los profesores universitarios, los médicos, los niños iban a la escuela, supongo, se vieron obligados a ir a esa escuela. Y recuerdo que la Sra. Cross llamó desde el primer momento diciendo que no era la primera y que no éramos bienvenidos. Y se hablaba de choque cultural y era,",health;education;recreation
Thomas Murillo,[00;44;30;23],"It was pretty rough first, but, I love that. And I cannot be get pretty good grades in the Kaiser Chiefs, talk. And so she, I think she would lose favor on me. She wouldn't. She wouldn't, as hostile to me as she was the rest of guys, I, you know, I found out that, you know, that one of the schools, really, these are the mixture, nationalities and and, you Asian colors and all that stuff.","Fue bastante duro al principio, pero eso me encanta. Y no puedo sacar muy buenas notas en los Kaiser Chiefs, por cierto. Y entonces ella, creo que perdería mi favor. Ella no lo haría. Ella no, tan hostil conmigo como lo era con el resto de los chicos, yo, ya sabes, descubrí que, ya sabes, que una de las escuelas, en realidad, estas son la mezcla, nacionalidades y colores asiáticos. y todo eso.",happiness;education
Thomas Murillo,[00;45;14;26],"I know this is unusual for this country, after all. This is more of a country. And at that time, more we were all white. And, here we were that that school over there was just about anything was being, and, it was so unusual when Mr. Spring's principal put together a radio program. Musical. Everybody, everybody that this the same song in your country that they or their parents couldn't afford the key.","Después de todo, sé que esto es inusual en este país. Esto es más un país. Y en aquella época, más éramos todos blancos. Y aquí estábamos, que en esa escuela de allí se estaba haciendo casi cualquier cosa, y era muy inusual cuando el director del Sr. Spring organizó un programa de radio. Musical. Todos, todos, que esta es la misma canción en su país y que ellos o sus padres no pudieron permitirse la clave.",education
Thomas Murillo,[00;45;50;09],Not quite popular. You go around from. Civic clubs to churches putting on that program. So it was highly unusual.,No muy popular. Vas por ahí. Desde clubes cívicos hasta iglesias que implementan ese programa. Entonces fue muy inusual.,education
Angela Luckey,[00;46;01;18],Did you sing a song?,¿Cantaste una canción?,
Thomas Murillo,[00;46;03;02],"Yeah. from my mama. Mama and I. It is dead now, we say. Right, the song. I don't remember what it was. And, Socorro. Ernestine. Mildred, Socorro was, more yellow here. and they sang this song. No, she just sang a song by herself. So, I don't I don't it was supposed to represent Spanish.","Sí. de mi mamá. Mamá y yo. Ahora está muerto, decimos. Bien, la canción. No recuerdo qué era. Y Socorro. Ernestina. Mildred, Socorro estaba, más amarilla aquí. y cantaron esta canción. No, ella solo cantó una canción. Entonces, no, no se suponía que representara al español.",
Angela Luckey,[00;46;32;20],"Was called the by, not.","Fue llamado el por, no.",
Thomas Murillo,[00;46;36;25],"and, you know, kids sang in Japanese and Chinese and German. And also going with, but that was, that was indicative of what an unusual school at that part. There were, I don't remember any incidents of, racial problems, with the exception of one time guy told me that I couldn't drink out of the farm water, and the other kids were drinking because I'm Mexican, but, I, I to remember he was an older guy.","y ya sabes, los niños cantaban en japonés, chino y alemán. Y también ir con, pero eso era, eso era indicativo de lo inusual que era la escuela en esa parte. Hubo, no recuerdo ningún incidente, problemas raciales, con la excepción de una vez que un tipo me dijo que no podía beber del agua de la granja, y los otros niños bebían porque soy mexicano, pero, Yo, yo para recordar que era un chico mayor.",education;hardship;food and drink
Thomas Murillo,[00;47;15;28],"What he was doing on the school grounds would be on me, and I think he was trying to be smarter about that. But certainly in that school, you know, I saw no distinction at all made by the teachers. I think there was quite unusual also that those teachers should be so, very minor. After all, it was not common to have that many, different kids.","Lo que él estaba haciendo en los terrenos de la escuela sería culpa mía, y creo que estaba tratando de ser más inteligente al respecto. Pero ciertamente en esa escuela, ya sabes, no vi ninguna distinción hecha por los profesores. Creo que también era bastante inusual que esos profesores fueran tan menores. Después de todo, no era común tener tantos hijos diferentes.",education
Thomas Murillo,[00;47;45;06],"Of people of any kind in one school in this area here. Because and, yeah, I, I certainly remember that, the Mrs. Woods. Mrs.. Puts out a great big gold wedding band, and boy, we used to don't like to class. She'd come down and she would, monkey on the head with that thing. I used to a few ways.","De personas de cualquier tipo en una escuela en esta área aquí. Porque y sí, ciertamente recuerdo eso, la Sra. Woods. La señora... saca una gran alianza de oro y, vaya, no nos gustaba ir a clase. Ella había bajado y lo haría, mono en la cabeza con esa cosa. Solía ​​hacerlo de varias maneras.",education;labor
Thomas Murillo,[00;48;15;22],"A very going through my head. But you. I mean, there was no, there was no favoritism in a group class if you misbehaved, didn't matter. What the hell you were. As far as the skin when she laid that attitude and she taught this, I think she taught everybody in my in my family, including, you know, the sister, because she was very close to very well-liked lady.","Algo muy pasando por mi cabeza. Pero tu. Quiero decir, no había, no había favoritismo en una clase grupal si te portabas mal, no importaba. ¿Qué diablos eras? En cuanto a la piel, cuando ella puso esa actitud y enseñó esto, creo que le enseñó a todos en mi familia, incluida, ya sabes, la hermana, porque era muy cercana a una dama muy querida.",education;family
Angela Luckey,[00;48;42;16],She knew. Where did you go in the high school.,Ella supo. ¿A dónde fuiste en la escuela secundaria?,education
Thomas Murillo,[00;48;45;24],"Hotel High school. That's the other way to do that was quite community experience, I think. I suppose everybody but, there were only two, two of these Mexicans in that class that I was interested in a steamer in. I graduated same class. Again, there was, Well, I'd seen her in the seniors pictures in my yearbook of her being a member of a couple of, organizations.","Escuela secundaria hotelera. Esa es la otra forma de hacerlo, creo que fue una experiencia bastante comunitaria. Supongo que todos, pero solo había dos, dos de estos mexicanos en esa clase en la que estaba interesado en un barco de vapor. Me gradué en la misma clase. Una vez más, estaba, bueno, la había visto en las fotografías de personas mayores en mi anuario de ella como miembro de un par de organizaciones.",education;family
Thomas Murillo,[00;49;18;27],"I belonged to them that way to the state. and, so I, a few as, as I had, take part in the social, in many social activities, and I, tried, football, but I was too small. I get the hell out of me, or I don't feel I still have that because I'm Marshall Bogan hiding from the group, and I'm sure he spent a whole year playing because of it.","Yo les pertenecía de esa manera al estado. Y entonces yo, como lo había hecho, participé en muchas actividades sociales, y probé el fútbol, ​​pero era demasiado pequeño. Me sale muchísimo, o siento que todavía no lo tengo porque soy Marshall Bogan escondiéndome del grupo, y estoy seguro de que pasó un año entero tocando por eso.",economy
Thomas Murillo,[00;49;52;00],"And now, in 1981, it finally flared up on you and covered in a lot of pain. But, I, and as I said, I weighed 127 pounds in my senior year, and I, I couldn't do, I couldn't do as well as I would like to in, football anyway. But I took part in criminal sports. They had the social activities, of course.","Y ahora, en 1981, finalmente estalló en ti y te cubrió de mucho dolor. Pero yo, y como dije, pesaba 127 libras en mi último año, y no podía hacerlo, no podía hacerlo tan bien como me gustaría en el fútbol de todos modos. Pero participé en deportes criminales. Tenían las actividades sociales, por supuesto.",health;crime;education
Thomas Murillo,[00;50;23;03],"Like, almost. I was a part of, I was, I suppose I was living a dual life then, just like I did later, and I did with it. Heck, you know, during the day, I was a student with all the virtues. And after school. All right, became. Excuse me. That's what it was. because through my, high school, I didn't, I didn't cross the street.","Como casi. Yo era parte de, supongo que estaba viviendo una vida dual entonces, tal como lo hice más tarde, y lo hice con eso. Diablos, ya sabes, durante el día yo era un estudiante con todas las virtudes. Y después de la escuela. Está bien, se convirtió. Disculpe. Eso es lo que fue. Porque durante mi escuela secundaria, no crucé la calle.",education
Thomas Murillo,[00;50;54;19],"I didn't automatically draw a line. You know, the Mexicans.","No tracé una línea automáticamente. Ya sabes, los mexicanos.",
Angela Luckey,[00;50;58;09],You.,Tú.,
Thomas Murillo,[00;50;58;26],"Whites. I had quite a few white friends. only one of them was social. I was still in school House, but the rest of them, I didn't know, and then I. I was not an outcast. So I had a lot of friends with the most guys. This guy. Hello, Steve Bachelor who who is a justice Supreme Court good friend.","Ropa blanca. Tenía bastantes amigos blancos. sólo uno de ellos era social. Todavía estaba en la escuela House, pero al resto de ellos no lo sabía, y luego yo. No era un paria. Entonces tenía muchos amigos con la mayoría de los chicos. Este chico. Hola, Steve Bachelor, un juez de la Corte Suprema, buen amigo.",education
Thomas Murillo,[00;51;25;29],"You know, even after, after.","Ya sabes, incluso después, después.",
Thomas Murillo,[00;51;32;04],"That he was always very friendly. well, he had reason to, like, saved you from getting his blood, but, like a guy who's going slugging had to come by. And I was a friend of the guy that was going to slowly. He's a big guy. And one of those rough roughnecks. You know, Steve was about to be a, fighter.","Que siempre fue muy amigable. Bueno, tenía motivos para salvarte de recibir su sangre, pero un tipo que iba a golpear tuvo que venir. Y yo era amigo del tipo que iba a hacerlo lentamente. Es un tipo grande. Y uno de esos matones rudos. Ya sabes, Steve estaba a punto de ser un luchador.",
