speaker,timestamp,words,tags,terms
Frank Rowan,00:39:42,They left their car at our place. This place wasn't on the road you see. So they left their car at our place and didn't say a thing about what they were doing or anything. Probably figured they knew who they were. She didn't. Then she sees them poking around and when they got her out she kind of figured out what was going on. Well I'd see them go in the house. And we didn't know they were the ...,,
Lottie Rowan,00:40:01,I'd see them go in the house and come out and round the house. Out the wood shed and then they'd be in the house again. So then I figured who they were. That probably was what. But when they'd come out there and ask me how to get where this guy lived. And how to get down to him. Well I went out there and showed them how to go down and how to get into the house. I thought they were guys that. There was some mining men down there. Kind of a clay out there like that mining men for that you know. And drilling around.,lcoh mining,drilling;mining
Sam Schrager,00:40:39,Is that why they suspected that you turned them in? Because they were going through your place to get to their operation?,,
Lottie Rowan,00:40:46,Well I don't know. I don't think so because I told the woman I said if we found out about it. And if we turned them in. Well after they got down there and I watched them what they did. They didn't state their business. But in this. These three or four men was going around this mining business you know. I never seen them in. I didn't know them but I always heard of a Big Handy was his name. Handy wasn't that his name? Big Handy wasn't that one of them they called him? Who?,lcoh mining,mining
Sam Schrager,00:41:20,Big Big Handy was one of the guys named Big Handy she's asking.,,
Frank Rowan,00:41:24,Well that would be Charlie Summerfield and Jordan.,,
Lottie Rowan,00:41:26,Yeah but those.,,
Sam Schrager,00:41:29,You're talking about the bootleggers right?,,
Lottie Rowan,00:41:32,Yeah and these men that come up to our house and I showed them how to get down there. There was a big guy with them. Of course I didn't know the sheriff or anybody. But there was a real big man in there. And I thought well that's Big Handy. And they've been. Kind of mining and testing around you know. So I thought that's who it was.,lcoh mining,mining
Sam Schrager,00:41:52,Oh I see but it was the cops here from here.,,
Lottie Rowan,00:41:55,Yeah and I didn't know it. And then. After I talked to the woman about it. She was up and we was talking about it. And she said how it was. They even. They had to get her on the bed to. Get into a hole in the ceiling to get up into the attic to look. They even went up in the attic and looked. And I forget what I said about it and I said. Well I sent them down there. I told them how to get in there. But I didn't know who they were. I said I've heard of Big Handy all the time with these mining men. And I just suppose that's who it was. But I said if it had been. If I thought that's who it was. I wouldn't be doing the right thing. Tell them I didn't know how to get them into. Where they lived or anything. I'd been right out telling them a lie. So afterwards. When they did pick them up. Then I guess probably that might be why they accused us.,lcoh mining,mining
Frank Rowan,00:43:03,Yeah. So they left the car at our place.,,
Sam Schrager,00:43:05,Who was the guys that were arrested? Do you remember who those guys were?,,
Lottie Rowan,00:43:13,One was John Colleen wasn't it?,,
Frank Rowan,00:43:17,"Yeah, John Colleen, sheriff went up there. This Jordan Poole I suppose was a lumberjack or something. He went up there and got talking to John. Got familiar with him, got a drink. And bought a jug of liquor. And he had his Johnny Star upside down.",,
Lottie Rowan,00:43:36,"There were several guys in there. But this Colleen. We knew him well, he was one of them.",,
Sam Schrager,00:43:44,That's an old. That sounds like now. Hap Moody. I've talked to him about his old time. As a deputy sheriff. It sounds to me like what he says. He did that a lot. He'd impersonate a lumberjack or something. Moody would.,,
Lottie Rowan,00:44:00,And there's another. Well it was John Colleen wasn't it? He told the guys how to go back to the house. And he had to go out there. And get his axe or something. So that he could take his shortcut. And beat them to the house. They were moonshining. And they had a barbara setting in the house. To keep warm so they'd work. And blanket or something thrown over it. Right there in their home. And they come there. Ask about they want to see John. And so she knew them I guess. Anyway she knew that's what their business was. Well she had to know them. And so she knew that's what they were up to. So she told them where to go out to her husband. Out in the woods. He was out making wood or something. And she was washing. Washing clothes that day. And they had babies. And she was washing baby clothes. And so she told them how to go out there. Find him. As soon as they started out. She watched them. And boy did she get busy with those bottles there. What do you think she'd done with them. She put them down in the washer. Under the clothes. And there stood a washer with clothes in it. And so then when they went out there. And talked to John. They'd come back to the house. He said well I tell you. You fellas just went back to the house. And I got to go out here. And get an axe or a saw or something. And he says then I'll go through a train or something here. And I'll meet you at the house. So he knew a pretty short cut to the house. Of course he made it short. But when he got to the house. His wife had it all taken care of. So when they come to the house. And went searching around. And they didn't find anything. But she did some quick work there. She figured they wouldn't go into that washer after it. They were thinking about bottles being in that washer. You know. When he got there he was sure please. That there was no evidence.,family,husband;wife
Frank Rowan,00:46:13,"Well, the second job was that lumberman from Elk River. The reason Elk River told Jim back in Florida. Because they were. The sailor from the Potlatch Lumber Company. They were talking about times here. And something said about Troy, Idaho. And Jim said something about his wife coming there. Another fellow that knew this section of the country. Said no there wasn't any Troy. This guy in. An Italian fellow raising up every way. He says there is, he says I knew it. Then he went and tell them the experience they had. They had some moon. Some way they got the. Word that the. The facers were on the road and they were looking around. And they busted a few bottles in. Might have seen them coming. A few bottles in a chamber pot. And set a kid on it. Whether that happened or not I don't know. But that's what this sailor told about it.",family;italian;lcoh corporations;lcoh places;lcoh timber,"wife;italian;potlatch lumber;elk river;potlatch;troy, idaho;lumber"
Lottie Rowan,00:47:13,Well they had. That kid trained to mine. And they said now sit here. Until I tell you to get up. If they could depend on that kid doing it. After a while the kid might get up and say. Got up and say. Oh mom or dad see what I did. The bottles in the chamber.,,
Frank Rowan,00:47:32,Well then they could. Slip the kid off in the lid on.,,
Sam Schrager,00:47:38,"Carl, Carl Olson. Told me one story. About a guy who is I can't remember who but they. Were coming up and he just had a bunch of. Moon sitting on his front porch. And he just had a big crate, a big box. And he just put it right over the top and sat on it. And he looked all around. He was sitting on it all the time.",,
Lottie Rowan,00:47:58,"Oh, for heaven's sake that was luck.",,
Sam Schrager,00:48:02,But how did this. How did Sam McKeon keep away from. How could he run a big operation. And not have police discover it?,crime;lcoh people,police;sam mckeon
Frank Rowan,00:48:12,He was just simply too darn smart for the rest of them.,,
Lottie Rowan,00:48:15,Well he surely couldn't do it alone. But he must have. Guys he could depend on. It wouldn't have mattered.,,
Frank Rowan,00:48:21,Well he played pretty much a lone game.,leisure,game
Lottie Rowan,00:48:25,Of course he had boys that would help him.,,
Sam Schrager,00:48:30,Did he just. Did he hide pretty far away from his house?,,
Frank Rowan,00:48:33,"He must, he must. It must have made him quite aware that he did.",,
Lottie Rowan,00:48:37,But now I tell you. The way he likes booze. And he says he must have. He must have I don't know. He doesn't know where it was. I need to be there. Well.,,
Frank Rowan,00:48:53,"One time one of them. When I went up there I had a cold. Got that jug, he lived in that house. Of every place he ever had. And then. Another time Charlie Ehrer's you know. Had a contract on that road East of Troy. Met him one day. He wondered where he could get a jug. So the jumper rig went up there with Charlie. That's all I know about it. But I heard him talking about her mom's family. Well he says, my god he's an old North Carolina guy. Good natured and jolly. I ain't saying that I'm. Booty legging and I'm not saying that I'm not. But my god I'm saying this much. I'm too old to get caught. I am. He was.",,
Lottie Rowan,00:49:44,Oh boy I don't see how he. He'd take a chance on that and even say it. Because goodness you. You're going in and out there. You don't know who's around back of that tree. Or that bush or anything. They might give a lead on you.,,
Sam Schrager,00:49:58,It was really pretty bad as far as. Them trying to arrest these guys then.,crime,arrest
Frank Rowan,00:50:03,Oh yeah. They were getting. Too many reports. You know if it was left to the. Officers finding it themselves they'd never get any. But it's the neighbors reporting in it. That's the way it goes.,,
Sam Schrager,00:50:18,"Well, I thought it was stool pigeons. I thought they hired people.",,
Frank Rowan,00:50:23,To pay them. The neighbors are the ones that done it you know. stool pigeons would get. How would you go about finding anything. That looks like it here.,,
Sam Schrager,00:50:34,No,,
Frank Rowan,00:50:45,A whole lot of people. He wasn't a popular man in the neighborhood. He was friendly and good nature. But if he got little money. He had to somebody he stayed there you know. But there was any amount of people. I don't care who it is. It goes to good like it you know. A lot of things are fun to talk about. It turns into. I know one guy that turned into. He didn't turn him in but he made. So much noise about it was no trouble. In getting it. You know a father who was in that business. He wanted to keep it pretty much for himself. But Sam was. Was the one that he got into. Ben was picked up. Rob was picked up. By the way Carl Olson was picked up. Long time did he say about that. I don't know just how he done. Or what it cost him that they turned him loose.,culture;environment;family,neighborhood;nature;father
Sam Schrager,00:51:49,The way he told it was he was just. Taking a guy home who happened to be a bootleggers. Or was bootlegging. And he really was innocent. He was driving the guy home is what he said. He got picked up by Moody.,,
Frank Rowan,00:52:01,It was just between you and I. And there was a hell of a lot of booze handling. In that garage that Carl had that day.,,
Sam Schrager,00:52:09,I've heard that too I've heard it too.,,
Frank Rowan,00:52:11,And another thing between us. This man Bill Damon you know him. The real estate man. He was a trucker in there in them days. He brought somebody in too. Whole thing lit.,,
Sam Schrager,00:52:30,Well those days are so far gone now. And I think they finally. When they discovered that it was a big mistake. To have the prohibition. I don't think anybody cares anymore. But it's really interesting. It's funny.,,
Frank Rowan,00:52:44,It was a law that the people didn't care for. So you couldn't enforce it.,,
Sam Schrager,00:52:51,What about old Pat Malone's attitude. About this business. What about old Pat Malone. How he fit in with all this.,lcoh people,pat malone
Frank Rowan,00:52:59,Well he was a marshal for I don't know 26-27 years in Bovill. Pat was alright. Some of them would give Pat a bad name. Because he had to pick him up with him. But given half a chance. Pat was alright. And he'd take a drink too. But then he wasn't. No ... mean about it. Jordan was. In the brunch here. Jordan was the guy that was sneaky about it. More so than Charlie Somerville. And of course. They had to earn their money. That much about an officer. I'm alone with war starting in Duluth. Before he came here. Pat Malone he was an old time.,conflict;crime;lcoh people;lcoh places,war;officer;pat malone;bovill
Sam Schrager,00:53:42,Did you ever hear whether he. Did he have a pretty tough reputation. From Duluth.,,
Frank Rowan,00:53:46,"No, I never heard that. I don't believe he did. As long as we knew him here. He was on the square. So I don't think he was crooked there.",,
Sam Schrager,00:53:54,Well what I mean is. Well let me see. One someplace I heard that he had been a pretty. He had been a big and he had been a very strong man. In his early days.,,
Frank Rowan,00:54:09,He could have been.,,
Sam Schrager,00:54:10,He's pretty old by the time he was out here I guess.,,
Frank Rowan,00:54:13,Well not too old. Do you understand he had a darn tough town. In Bovill. As busy as it was in them days. It wasn't like it is now. You take nowadays. There are most all married men up there. And there isn't one man working in Bovill now. Where there used to be five before. And they were all married. And there was lots of liquor come in there. You see. Well that town over there. Fernwood. Was the last town to go drive in the country. Well I guess Santa went down. Then Fernwood way up in the summer. And they hauled it in by the. Wagon load boost from. That country there. And the sheriff or the policeman. Had something to do in a town like that. No I'd never believe anything crooked about it.,lcoh places,bovill;fernwood
Sam Schrager,00:55:02,Oh I've heard about Pat's been good. Everybody. That's ever said anything about Pat. Told me he was a man for that.,,
Frank Rowan,00:55:10,Just like. That fella could tell the story. And let it go of that. But they closed down a manum. Mrs. Mock I believe was her name. At that square house. Just across the track on the right. Maybe that burned down on Lewis a few years ago. But then it had to close down. And a bunch of them there. And Bovill you know. Got together and they had to have her. Sue old Pat for $1700 body service. They never expected that. To go in their fire they were just. Give old Pat a black eye.,lcoh places,bovill
Sam Schrager,00:55:51,$1700 for what?,,
Frank Rowan,00:55:53,Just for body service.,,
Sam Schrager,00:55:54,Oh I see.,,
Frank Rowan,00:55:56,They just don't mind for a joke on him.,,
Sam Schrager,00:56:00,Now did you tell me the story about the madame that they brought down. To the station in Bovill. Did you tell me that? Gee I've heard that I've heard a story. They brought the lady down from. They brought her down to Bovill. She was sick she had something wrong with her. And Pat saw her at the station. And she said. Why Pat many's of times. You and me have been together. And he says poor lady she must be out of her head.,crime;lcoh places,madame;bovill
Frank Rowan,00:56:33,I've never heard that. There could be lots you know. I've never heard it was around Bovill.,lcoh places,bovill
Sam Schrager,00:56:38,I've heard so many stories that sometimes I get them confused. But now I've heard it with Pat. He had to watch your bottle. Because he really did. He started to. He got the bottle he might finish it. That's what I've heard.,,
Frank Rowan,00:57:00,"Who's marshal there now. ... No there used to be some pretty tough guys in Bovill. 15, 60 years ago.",lcoh places,bovill
Sam Schrager,00:57:12,The other thing about Pat I've heard. Is they used to like to joke him. You know they used to like to. Make jokes about him. He was funny.,,
Frank Rowan,00:57:22,Just like. That lawsuit didn't cost much. You know three or four men get together. It was practically no cost to it.,,
Lottie Rowan,00:57:33,... He jumped in and cleaned all of them.,,
Frank Rowan,00:57:38,Anybody can. Anybody can sue anybody. Conviction is another thing. That's entering a suit. And other things. Did you get any ground on. That fellow that. Gave him a die to gas. In the Minneapolis hotel.,crime,conviction
Sam Schrager,00:58:00,No I haven't. The only guy I've talked to is Elver Flodine. I forgot to ask him about that.,,
Frank Rowan,00:58:06,I think Carl would know about that.,,
Sam Schrager,00:58:10,What's the story about that now? The way you heard it.,,
Frank Rowan,00:58:13,I read it in the local paper. This had the money was found. Not too long before we came here to Moscow. Maybe the last 15 years or so ago. This fellow went to the old country. And he told somebody here. He said well I'll only come back if I won't be broke. Because I'll have some money too. And he goes. He goes and gets far in Minneapolis. And he stopped there. And instead of turning the gas out. He blew it out you see. So he woke up dead next morning. And then in the cabin down there. Some years back. They found $100 in gold. Shut down the cracker of course. He had the money all right.,lcoh places,moscow
Sam Schrager,00:59:00,Well did you first start. To work in the woods there in 1918. Is that when you first went to the woods.,,
Frank Rowan,00:59:06,"No, that's about the time I quit the woods. I worked there and went up to 18. Because we bought this place. There were no buildings down there or anything. And wages were big so we went up there only for 22 months. No I worked from 1906 and on. Up to that in the woods.",,
Sam Schrager,00:59:26,And who was it that you worked for. You worked for. Yeah but you were telling me. It was the guy that you were the assistant. Foreman for was that Flasher.,,
Frank Rowan,00:59:37,Henry Flasher was one. At Park and then Marion Mallison. At Bull before that. Camp 10.,lcoh people,henry flasher
Sam Schrager,00:59:49,What was the first camp that you worked for.,,
Frank Rowan,00:59:51,Camp 10.,,
Lottie Rowan,00:59:55,We lived out there. Where these ... live you know. And so got Frank in there. And Drake said he was an awful big talker. And Frank couldn't get a word in. And pretty soon I. Finally Frank said yeah. Well goodbye. And he turned around. Whichever girl it was I don't know which it was. He said Daddy. Why didn't you do something to talk about. He didn't. He didn't say he can't talk without swearing. He says well he wouldn't let me. She said that's what Mom and I know. We sat back and Frank there. And Frank was trying to say something. He couldn't he just go that way. And then when he got through him. Iver got through talking. Frank didn't get to say really anything. And then turned around. She says Daddy why didn't you do something. To talk and he said. Oh my gosh.,,
Frank Rowan,01:00:53,"I'll give you a story on Drake's days And not for publication Have his road supervisor down there Well at least before I got to his road supervisor I was a grader man in there Then we had a service wagon Drake said he was out with us He was a road boss At that time they had nine districts that consolidated the year two afterwards and into one district and turned it over to me. So he was pretty much with the grader when it was out the bridge there. We were down this canyon and our rig was parked up on top there. So we left the thing in the canyon and came out. Got our rig though. He said he'd get out down the cornfield of the cemetery and walk home once. He was way down. Let's see who lives there now. Not all are placed. I don't know if there's anybody there. Anyways, you get out and go straight down the burn bridge and you mean that turns to the house right at the corner. That's where he lived. So we said we'd take him home. He says, much obliged. I'm tired already. We went down there. Let's go to the barn and have a drink. Now he never moved like himself. They had to be customers or there wouldn't have been a mood like this. They were hitting the barn and they were doing something. Looking in the manger there for a jug. And this Paul Carlson, what was his first name? His father-in-law? Michael Carlson. He was looking around. Joe Carlson? Oh, Mark. Oh, Mark Carlson, you know. Oh, yeah, his father-in-law, yeah. He said, what are you looking for? Looking for that goddamn jug Paul? He was scratching around and said, well, I think I can get on. He went off to another manger. Never mind the jug Paul. I got one. That's the way that barn was fixed up. And we had a few snorts there going home. This is Joe Matson. His brother-in-law, Axel Bowman, was driving. He says, this reminds me of that advertisement that had walked on my other brick camera.",family;technology,brother;father;camera
Lottie Rowan,01:03:11,"The other thing about Frank and doing all the talking, Matson going like that, you know, with his hands and arms going, talking. And they sometimes would come over to our house there out on the ridge. I don't remember who it was. They'd go out and stand out there in front of the little garage talking. And one would talk something, and then Matson just going like that, and the other's going like that. So, uh. Tell her because she wasn't there to do the talking. And this is our youngest daughter now, Liz Spokane, just a girl going to grade school. So, we'd look out there and watch them and their mouths just going like that, you know. And we got the tickle out of it. For some reason, Frank looked toward the house. And we was kneeling up on the, or leaning over anyway, on the devil's port, that was loveseat we called it, across the window out facing the front of the house. And we'd either kneeling on it or leaning over it there. And when Frank looked out, we had our hands going like that, you know.",education;lcoh places,school;spokane
Sam Schrager,01:04:21,"Up and down, open and closing.",,
Lottie Rowan,01:04:23,"Their mouths going, you know, and he knew what that meant. And he couldn't hardly talk from looking back to the house. And when he started to look, we'd keep, get our hands going. So after a while, the guy left and Frank come back in. And when he come in, we got our hands to go and he said, oh, we've got damn boobs. He wasn't mad about it. I'm sure guys go with it. We had our hands going like that. He knew that was what it meant.",,
Sam Schrager,01:04:48,"Well, I'll tell you, I'll tell you, as far as I'm concerned, you know, there are a lot of guys, they don't remember much. People don't remember much about the old times or they don't talk about it at all. Well, the guys, the guys that remember and talk about them, to me, you just can't beat them. Yeah. More, you know, really, I just, I think it's wonderful because it means that, well, you've got a terrific memory about the old days. And you know how to tell a story. You know how to tell a story.",,
Lottie Rowan,01:05:20,"He remembers things way back like that. A lot of things that I'd forgotten about and just seemed like I never knew about him. But right now, I tell him something yesterday or the day before and it just occurred that I didn't tell him. He didn't know anything about it.",,
Sam Schrager,01:05:38,"Well, it's not so interesting what's going on these days. It was better what was going on back then, I think.",,
Frank Rowan,01:05:45,"Now, she's going to tell a joke on me for it.",,
Lottie Rowan,01:05:49,Look out now. Look out now.,,
Frank Rowan,01:05:51,Don't tell them I'm on her.,,
Lottie Rowan,01:05:52,There's too many on you.,,
Frank Rowan,01:05:53,"I was sitting on reading a paper in there one evening in this living room there. She'd come in and they'd set off a firecracker. So they were going to scare me with it, you know. They jumped instead of they jumped. So I said, well, you got any more firecrackers? Yeah, yeah, they had another one. Just to the left of the door, I had a 45-cook six-shooter hanging up there. I never had one around. I never had an empty. I just picked it up just behind me. She laid it at the firecracker and threw it on the fire. Six-shooters!",,
Lottie Rowan,01:06:36,"Anything he had an excuse to shoot a gun. He was crazy to shoot that gun, you know. He didn't like it, and I wouldn't allow it hanging out in the front room. I let him hang it up in the, I think I put the nail up myself, way up so it would keep warm and dry, you know, everything, in the kitchen. He didn't like it because it didn't hang in the front room. And the oldest daughter is like that. She likes guns out on the, out in the front room. She likes to rack the guns out. And I wouldn't allow that. I just would not have a gun out in the front.",,
Sam Schrager,01:07:15,Would you tell me this story again about the wild man at Burnt Ridge?,lcoh places,burnt ridge
Lottie Rowan,01:07:20,Ha ha ha! Ha ha ha!,,
Sam Schrager,01:07:27,That's a good story.,,
Lottie Rowan,01:07:28,"Ha ha ha… well, it actually happened. Well, I don't know, I was wondering here the other day. I don't know how that ever got started. There was a wild man, the story was there was a wild man on Burnt Ridge. On Burnt Ridge and down in the canyon, you know, and he was seen all over in there. The wild man on Burnt Ridge. But I didn't take much stock in there and they, you know, he's over on Burnt Ridge and I was over here. And I wasn't afraid of anything. He'd probably stay over there. And I said to Mrs. Ted Sund, Ted and his wife, Ted Sund, they was what I was telling about it. I said, oh, that's just a story. They was then living or had lived on Burnt Ridge a while, Ted and Emma. And I said, oh, that's just somebody's story. They couldn't be, these days there couldn't be a wild man living like that. Where would he live? And he'd have to come out and have groceries or somebody bring groceries to him. How does he live? Well, they didn't know, but there sure was a wild man out there. She was so sure of it. And so, well, it went on like that. So, long after I'd been hearing about the wild man on Burnt Ridge, one day I was, the girl was in school and Frank was up to work. And I was in the kitchen and I walked in there in the kitchen and everything was quiet. Just me washing dishes or whatever I was doing. And all of a sudden I know how I'm being out the front way, front of the house. Well, I come out of the kitchen and I couldn't imagine whether I was a regular pounding, you know. Wasn't like anybody knocking. What in the world was that? Just a little bit afraid to go to the door, you know, but still I had to go see. So I come out of the kitchen and out through the front room. I come to the door there, screen door. Walk right up to the screen like that and out there. We didn't have any hallway there. I walked up there. Well, as I come to the door, I didn't see anyone. And I walked right up there and I didn't see anyone. And much as I could see without the door, I couldn't see anybody. So I thought, well, my goodness, what made that noise? So I opened the screen and I was going to look out around a little. And when I looked out there, he stood over just about like that tree is out there from the house. Had a little porch built on another door there on that same side. And old Dickens, he hadn't come up and knocked at a door. He walked up there and he stood and pounded his, it wasn't a cane, it was a big stick he had for walking cane, you know. And well, the wild man on Burnt Ridge, you know, he had big, heavy eyebrows and he had a big mustache. And he had big buggy eyes. And boy, I tell you, I was scared when I seen him. Boy, there's the wild man off of Burnt Ridge. What am I going to do? So I spoke to him to see if the wild man could talk. So he asked me if Frank was home and I told him where he was. And whether he was still, come over and see something about road work, you know. And then he told me who he was. Said he was, lived on Burnt Ridge, he's Joe Carlson. Boy, I tell you, I brought fate to them and I found out who it was. He scared me so bad.",education;family;lcoh places;transportation,school;wife;burnt ridge;buggy
Frank Rowan,01:11:24,"See, his place would be the Waller place down there today.",,
Lottie Rowan,01:11:27,"But now isn't that funny that he wouldn't have come up to one door, like out there at the garage would be one door and here would be the other door. Because it was a long, the house was built in an L shape and it was long. Well, why didn't he come up and knock with his hand or just tap with his cane? But instead of that, he'd come up there at that porch and just really pounded it, you know.",,
Sam Schrager,01:11:50,Do you think he knew that you were scared to death?,,
Lottie Rowan,01:11:54,I don't think so.,,
Sam Schrager,01:11:57,You didn't scream when you saw him?,,
Lottie Rowan,01:11:59,"No, I didn't. I didn't want to get that wild man excited. I just, I just hoped that he'd say his business and what it was all about. No, I don't think, I don't think he knew he scared me.",,
Frank Rowan,01:12:17,"And another story there that wouldn't be for publication. They had a, oh I don't know, I guess a dance, maybe they did, they used to have quite a time about getting a chance to dance on that Spring Valley schoolhouse. Once people there, it was a poster all the time. But anyway, they had a party there. There was a couple of the Olsen boys on the ridge there, they were drunk and a couple other guys with the Olsen's and the Cardacocks and who else was it. It doesn't make any difference that Mrs. Spencer actually had one of her grandchildren in her arm carrying it around and the kid was crying, you know. And this Olsen walked by and he put it drunk and said, shut up you little Simon Bates. The old lady hung on and slapped him.",lcoh places;lcoh rural schools;leisure,spencer;spring valley school;dance
Lottie Rowan,01:13:15,"Well, you couldn't expect anything else. She was an old woman and she was just, they say good is gold and she was religious. She didn't go to church or anything but she had her own ideas about religion and goodness and everything. And you couldn't find a person going to church that was any more sincere and good, you know. And they called that kid that name and Frank talked to her about it and so she said, and she just laughed and she covered her eyes and said, wasn't that awful that I'd do a thing like that?",religion,church;religious
Frank Rowan,01:13:49,"... for you, disturbing things at the party, is he?",,
Lottie Rowan,01:13:54,"She did, she dropped it on her hand and opened it all up and laughed. She said, wasn't that awful what I'd done? But he just made me some acts. She said, I just did it before I knew what I was doing.",,
Frank Rowan,01:14:07,"Mrs. McKeon, she heard my dad had a set-up about something that the police was all on one farm at one time, you know. And the dad bought part of it, but it split off and left the corn about like that across the road. That's a long way of gear we got into trouble to. Well, I didn't know, but she wanted to brag about it after we got to doing it, got to owning it. I asked her, have you got your deed here, Mrs. McKeon? She says, yes. Well, let me see it. Well, I read her deed. It called for a certain point around and to the county road. Well, you see, that was her land over there. So the old man, he called it his, maybe.",crime,police
Lottie Rowan,01:15:03,"Now the old man, he's his dad, you see.",,
Frank Rowan,01:15:05,"He liked it, he'd chew on it anyhow.",,
Sam Schrager,01:15:08,He liked what?,,
Frank Rowan,01:15:09,"He'd chew on it anyhow, the old man.",,
Lottie Rowan,01:15:14,They fought over that little piece there for years. He claimed it and she claimed it.,,
Sam Schrager,01:15:21,"Well, how big was it? How big was it?",,
Frank Rowan,01:15:24,"Well, it was a matter of probably half the course of an acre there, straight up the hill besides. But I saw her, got her deed and see where it was sold off. I was, you know, that showed me how it was. But she said, I don't know how good it was, but she came out there with a shotgun. If Anna Marie  had put that in the paper, we wouldn't have given them, we wouldn't have said anything. She came out with a shotgun, the old man grabbed the shotgun and he broke it in two. And threw it down there. Well, that went on fine. We heard about it as soon as we lived in Elmer. And we moved down in the spring of nineteen, wasn't it?",,
Lottie Rowan,01:16:06,"Yeah, it must have been.",,
Frank Rowan,01:16:08,"So we left that house just above the neighbors. We started putting our horses in there. We went into town and stopped in to see her. She got up and walked over, I said, now, Mr. Meek, you and the old man got all your trouble you want. I don't have anything to do with it. I've got her a good time. Then she left. She said, well, don't want to get mad at me looking old, Evelyn.",,
Lottie Rowan,01:16:39,"And people, it's sort of a tease. His dad said, well, now you know you damn old fool, what you done? You went over there and you took the gun away from her and bent it over your knee. And now you go over there and you can't get away from her. And now she can shoot around the tree or a bush or anything and get you. You think we've got to shoot around her house?",,
Sam Schrager,01:17:03,"You said that, did you? Did he say that?",,
Lottie Rowan,01:17:05,"No, other people that heard about it, they said, well, you bent the gun on her and now she can shoot around things and get you.",,
Frank Rowan,01:17:15,"It was embarrassing, you see?",,
Sam Schrager,01:17:16,"Right,.",,
Lottie Rowan,01:17:19,"Oh, my. They had some time to spend.",,
Frank Rowan,01:17:22,The gun wasn't even loaded.,,
Lottie Rowan,01:17:27,"Our oldest daughter, she wasn't in school then. She was about five or six, I imagine, six. Well, she might have been about seven this time, but she didn't go to school until she was about eight. And she'd go across the hill from where we lived, number, where Blooms are. And she'd go kitty-cornered across the valley and the hill or to the kid's place, you know, and then right across the road where his dad lived. So she'd take her dog and go over there. She'd stay overnight with Grandpa sometimes. And so one night Mr. McKeon was out. He was just getting almost dark. And he studied it out. He could see somebody and he didn't know for sure who it was. And he figured out, well, now that's Florence, your dog. And she was going home. And he says, is that you, Florence? And she says, yes. And he says, well, what are you doing out this time of night, out after it's dark? You shouldn't be out, you shouldn't be out like it's after it's dark. Oh, that's all right. I got my dog with me. And I don't know whether it's that trip or not. No, she stayed over there. The dog was coming home. But she had her dog with her all right. When I was watching the dog with her, she wasn't afraid anyway, I don't think. And so she says, he'd always tell that in a laugh. He says, bye, guys. That's pretty good. And she says, oh, I'm not afraid. I got my dog with me. But one night she and the dog went over there. I guess the dog thought she had gone home. She stayed overnight, this grandpa. And I guess the dog thought she had gone home or in the way he decided to go home. And on his way over, well, Mr. McKeon had put some poison out up there someplace, someplace along where the dog got it, for coyotes. And the dog got some of it and got him. So we always felt bad about that. But he always laughed. I was like, as long as she had her dog, nothing could happen to her.",education;italian,school;florence
Sam Schrager,01:19:47,"Well, who was the woman that, was that Mrs. Johnson that saved the chickens that had eaten the poison?",,
Frank Rowan,01:19:56,"Yeah, Butcher Johnson,.",,
Sam Schrager,01:19:57,yeah. Was that Butcher Johnson's wife? What was his story about that?,family,wife
Lottie Rowan,01:20:02,"Well, I don't remember it myself.",,
Sam Schrager,01:20:04,"Was it, was it, was it you to talk?",,
Frank Rowan,01:20:07,"We were bashing there and it was kind of dirty. And mice got in the cellar. So I had some, you know, green peaches for squirrels and all. It was in the cellar too. So I just, but the dog took the lid off. Mice get in. Well, of course, she'd come along then. She was going, cleaning things up around there, you see. And she left the door open for her to hear out and the chickens got in there. Then Mrs. Johnson, she'd come down and she'd only be walking in with a chicken or two of them. Wonder what happened to her chickens. So then she got busy and swabbed them out to grease on it and they'd throw it.",food_and_drink;lcoh flora & fauna,chicken
Lottie Rowan,01:20:51,I don't know. I don't remember a thing about that.,,
Frank Rowan,01:20:53,...,,
Lottie Rowan,01:20:54,I suppose it was.,,
Frank Rowan,01:20:55,You'd lose some of them.,,
Sam Schrager,01:20:56,She swabbed out their throats.,,
Frank Rowan,01:20:58,"I think that'd be what she'd done, take a swab and done the grease.",,
Lottie Rowan,01:21:02,"I don't remember, but she'd probably have me melt some lard or butter or something, you know, and pour it in the mouth and the whole resort would run down their throats, you know. But I don't remember that at all.",food_and_drink,butter;lard
Frank Rowan,01:21:14,That was the first time she came down.,,
Sam Schrager,01:21:18,And she's the one that gave you a shivaree too?,lcoh play,shivaree
Lottie Rowan,01:21:21,"Yeah… yeah. She's up… she was working on the garden, in the garden, and all of a sudden, pow, pow, bang, bang, bang. And I said to Frank, what in the world is that? What's she doing? He says, well, she's shivaree-ing us. So after she said this, she asked how we liked the shivaree she gave us. And she says, well, I didn't get to go to the shivaree with the rest of them, but I just thought I'd get one of my own on you. She had an old boiler, cans and stuff out there, you know, to pound the dickens out of. She made part of the racket all right. We was over on the hill and working in the garden.",agriculture;lcoh play,garden;shivaree
Sam Schrager,01:22:00,"You figured it, he figured it at the time that she was shivaree-ing?",lcoh play,shivaree
