speaker,timestamp,End Time,words,Unnamed: 4
Daniel Immerwahr,[00:16:37:11],00:16:37:23,Century.,
Daniel Immerwahr,[00:16:38:04],00:16:53:17,"That the United States expanded to fill out the familiar profile that that that we know, in the last sort of jigsaw puzzle piece is, under the Mexican session on this map is the Gadsden Purchase, which, provides the border between the United States and Mexico and was.",migration
Daniel Immerwahr,[00:16:53:19],00:16:57:01,Ratified in 1854. Okay. So in 1854.,
Daniel Immerwahr,[00:16:57:03],00:17:02:07,"The United States has the shape that that we're so familiar with it, that we're so familiar with.",
Daniel Immerwahr,[00:17:02:09],00:17:03:23,"That's true, except.",
Daniel Immerwahr,[00:17:03:23],00:17:06:11,That this is a very interesting fact. The United.,
Daniel Immerwahr,[00:17:06:11],00:17:06:23,States only.,
Daniel Immerwahr,[00:17:06:23],00:17:08:12,Kept that shape.,
Daniel Immerwahr,[00:17:08:14],00:17:11:18,For three years. There are only three.,
Daniel Immerwahr,[00:17:11:18],00:17:13:18,Years of U.S. history where that familiar.,
Daniel Immerwahr,[00:17:13:18],00:17:14:10,Shape is.,
Daniel Immerwahr,[00:17:14:10],00:17:20:15,"Actually accurately corresponds to the borders of the country, those three years being 1854 to 1850.",
Daniel Immerwahr,[00:17:20:15],00:17:22:17,Seven. And the reason is that.,
Daniel Immerwahr,[00:17:22:17],00:17:47:00,"After the United States filled out that familiar profile, it then started expanding overseas. It did so through first through a, series of, annexations of the so-called guano islands, islands that were uninhabited but were, rich in, in fertilizer, which you could, sorry, rich and bird guano, which could be used as fertilizer. That's how the United States acquired Wake Island and use here, see a map of them.",agriculture
Daniel Immerwahr,[00:17:47:00],00:18:01:23,"I say it's a series of islands. But in fact, over the course of the 19th century, the United States acquired nearly 100 of them. 94 of them, and then very quickly after that. So the guano Islands started being annexed in 1857, 1867, the United States purchased Alaska.",
Daniel Immerwahr,[00:18:02:02],00:18:02:18,At the end of.,
Daniel Immerwahr,[00:18:02:18],00:18:09:03,"The 19th century, the United States entered a war that Spain was fighting with Spain's, rebelling.",conflict
Daniel Immerwahr,[00:18:09:03],00:18:09:19,Colonies.,
Daniel Immerwahr,[00:18:10:00],00:18:31:23,"Cuba, the Philippines, Puerto Rico. And in the course of that war, it entered on the side of the rebels who were seeking liberation from Spain. But in the course of the war or at the end of the war, it, it annexed a lot of Spain's colonies. So it annexed the Philippines. Puerto Rico and Guam, all of which were Spanish colonies it occupied but did not annex Cuba.",conflict
Daniel Immerwahr,[00:18:32:00],00:18:47:01,"And then in a sort of fit of imperial enthusiasm, it, took the non Spanish lands that same very small amount of time of Hawaii and American Samoa, thus giving the United States quite a large, territorial empire and colonies, you know, stretching, to Asia.",
Daniel Immerwahr,[00:18:47:03],00:18:48:13,That that.,
Daniel Immerwahr,[00:18:48:13],00:18:53:24,"Fact about the United States, that it had a large, empire with millions of people living in the colonies.",
Daniel Immerwahr,[00:18:54:01],00:18:57:09,"Is, I think, a sort of elusive one. It's hard to recognize.",
Daniel Immerwahr,[00:18:57:09],00:18:58:05,If you just read the.,
Daniel Immerwahr,[00:18:58:05],00:18:59:24,Textbook account of U.S. history.,
Daniel Immerwahr,[00:19:00:05],00:19:17:10,"And partly the reason it's hard to understand that is it's actually hard to visualize, most maps of the United States don't show those kinds of places. This is, I just googled map of the United States to see what would first come up. And this is the map, that first came up. So, there's a few things to note about this map.",
Daniel Immerwahr,[00:19:17:10],00:19:24:10,"One is that it's a map of states, not of all the lands that the United States claims. So Puerto Rico is not on this map. And.",
Daniel Immerwahr,[00:19:24:10],00:19:27:11,To even the extra continental.,
Daniel Immerwahr,[00:19:27:11],00:19:34:21,"States, Hawaii and Alaska are given a kind of bizarre treatment. Alaska, most obviously. So, those of you who know much about geography understand that.",
Daniel Immerwahr,[00:19:34:21],00:19:36:11,Alaska is actually way larger.,
Daniel Immerwahr,[00:19:36:16],00:20:01:02,"Than that. But it is shrunken down on this map. Alaskans find this, deeply irritating. And I found one of the favorite parts of my research. One of the most fun parts of my research was I. I, encountered a map that an Alaskan had done of this same geographical zone. So this is an Alaska, this this same territory mapped from the perspective of Alaska as a form of cartographic revenge.",education
Daniel Immerwahr,[00:20:01:04],00:20:05:07,And here's what you see here. Alaska is represented in.,
Daniel Immerwahr,[00:20:05:09],00:20:06:24,A loving cartographic detail.,
Daniel Immerwahr,[00:20:06:24],00:20:11:05,Every twist and turn of the coastline is shown. All the topography and all of.,
Daniel Immerwahr,[00:20:11:05],00:20:12:03,Its glory.,
Daniel Immerwahr,[00:20:12:05],00:20:12:18,And the.,
Daniel Immerwahr,[00:20:12:18],00:20:13:02,Lower.,
Daniel Immerwahr,[00:20:13:02],00:20:25:19,"48, as Alaskans call it, is just shrunken down and shown in a kind of distorted, Gumby like perspective. Hawaii actually gets a more serious treatment on this map, than the lower 48 do.",
Daniel Immerwahr,[00:20:25:21],00:20:26:04,So.,
Daniel Immerwahr,[00:20:26:04],00:20:28:23,"Okay, you know, you can see the, the map battles.",
Daniel Immerwahr,[00:20:29:00],00:20:30:20,I wanted to have a map.,
Daniel Immerwahr,[00:20:30:20],00:20:34:02,"Of the United States that showed not just the states, but.",
Daniel Immerwahr,[00:20:34:06],00:20:35:13,That showed all the territory.,
Daniel Immerwahr,[00:20:35:13],00:20:47:16,"And that showed it, not shrunken down and distorted as Alaska sometimes is, but. But gave it to you from an equal, you know, to scale at an equal area of, projection. And I actually struggled to find such a map. So I.",
Daniel Immerwahr,[00:20:47:16],00:20:48:05,Made.,
Daniel Immerwahr,[00:20:48:07],00:21:05:20,"A map myself of the United States, on the eve of Pearl Harbor, showing all the territory that the United States controlled. And this is that map. So a few things to note about it. First of all, it shows you all of the inhabited territories, to scale at an equal area projection.",
Daniel Immerwahr,[00:21:05:22],00:21:06:15,The only parts.,
Daniel Immerwahr,[00:21:06:15],00:21:09:06,"That shows, not to scale are.",
Daniel Immerwahr,[00:21:09:06],00:21:10:11,The uninhabited.,
Daniel Immerwahr,[00:21:10:11],00:21:13:24,Islands. Many of them have been guano islands that the United States claimed.,
Daniel Immerwahr,[00:21:14:01],00:21:15:03,Many of these are so small.,
Daniel Immerwahr,[00:21:15:03],00:21:26:23,"That, to show them, you just wouldn't be able to see them on a map. So I've rendered them as clusters, in the lower left and lower right for Pacific and Caribbean guano islands. Everything else is to scale and,",
Daniel Immerwahr,[00:21:27:00],00:21:27:07,When.,
Daniel Immerwahr,[00:21:27:07],00:21:41:04,"You look at a map like this, you quickly see just how large some of these overseas territories are. Alaska, for example, is huge. I mean, this is a point that Alaskans love to make is that if you superimpose Alaska on the local map, it.",
Daniel Immerwahr,[00:21:41:04],00:21:43:00,Stretches from coast to coast.,
Daniel Immerwahr,[00:21:43:02],00:21:50:23,"You know, that's that's how big Alaska is. And you can do a play a similar game with the Philippines where it kind of just, you know, colonizes the entire.",
Daniel Immerwahr,[00:21:51:00],00:21:51:09,East.,
Daniel Immerwahr,[00:21:51:09],00:21:55:08,"Coast. When you look at a map like this, you realize that, it's it's.",
Daniel Immerwahr,[00:21:55:08],00:21:56:23,Not quite correct to.,
Daniel Immerwahr,[00:21:56:23],00:22:06:03,"Take that logo map and to call just that the United States, that's a part of the United States. It's a big part. It's a important part. It's a populous part. It's a.",
Daniel Immerwahr,[00:22:06:05],00:22:09:22,"Privileged part, but it's not the whole of the country.",
Daniel Immerwahr,[00:22:09:24],00:22:10:16,And in fact.,
Daniel Immerwahr,[00:22:10:16],00:22:11:01,I struggle.,
Daniel Immerwahr,[00:22:11:02],00:22:20:01,"To know what to call that familiar, because I was I grew up calling it the United States. And then you look at a map like this and you realize, well, it's part of the the United States, not the whole thing. So.",
Daniel Immerwahr,[00:22:20:01],00:22:20:14,I learned to.,
Daniel Immerwahr,[00:22:20:14],00:22:26:14,"Use a term that, people in the territories often use, which is to call it the mainland.",
Daniel Immerwahr,[00:22:26:16],00:22:27:09,So that's the.,
Daniel Immerwahr,[00:22:27:09],00:22:30:08,"Mainland of the United States, not the whole thing.",
Daniel Immerwahr,[00:22:31:02],00:22:42:09,"I'm pointing out maps just to show you how large some of the territories are, by the way. Hawaii too, if you look at below the mainland, if you look at not just the, eight islands that are normally shown, but the entire island chain.",
Daniel Immerwahr,[00:22:42:14],00:22:44:06,"Also, almost stretches.",
Daniel Immerwahr,[00:22:44:06],00:22:46:24,"Coast to coast of the mainland. But, the.",
Daniel Immerwahr,[00:22:47:01],00:22:49:05,The map itself isn't entirely.,
Daniel Immerwahr,[00:22:49:05],00:22:53:01,"The point. I think another thing to it's worth pointing out is,",
Daniel Immerwahr,[00:22:53:03],00:22:56:04,Just how many people live in some of these overseas territories.,
Daniel Immerwahr,[00:22:56:04],00:23:03:12,"So this is, again on the eve of the Pearl Harbor attack. This is, the US census count of the population of.",
Daniel Immerwahr,[00:23:03:12],00:23:05:08,The Overseas Territories. And what we're.,
Daniel Immerwahr,[00:23:05:08],00:23:11:22,"Looking at is a, territorial population that is large. It's almost 19 million people, the.",
Daniel Immerwahr,[00:23:11:22],00:23:13:08,Great bulk of whom live in the.,
Daniel Immerwahr,[00:23:13:08],00:23:30:04,"Philippines. The United States is not unusual in having, an overseas empire with one big colony. Britain had that in India. The Netherlands had that in what is now Indonesia. And for the United States, it's the Philippines. But, you know, these other, territories are non small Puerto Rico, Alaska, Hawaii, you have.",
Daniel Immerwahr,[00:23:30:04],00:23:30:19,A number.,
Daniel Immerwahr,[00:23:30:19],00:23:32:05,Of people in them.,
Daniel Immerwahr,[00:23:32:07],00:23:33:00,And another way to.,
Daniel Immerwahr,[00:23:33:00],00:23:41:22,"Think about this is to think about those 19 million people who live in the, overseas territories as a percentage of the overall U.S. population.",
Daniel Immerwahr,[00:23:41:22],00:23:43:15,So if you lived in the United.,
Daniel Immerwahr,[00:23:43:15],00:24:04:20,"States in 1940 million, the whole thing, not just the, mainland, there is a 1 in 8 chance that you were living in a territory, you know, in a colony. Another way to say that is to say that if you live in the, United States in 1940, there is you are more likely to be colonized than you are to be black.",
Daniel Immerwahr,[00:24:04:22],00:24:07:23,"That's how many people live in the, overseas territories.",
Daniel Immerwahr,[00:24:08:00],00:24:09:15,And you're more likely to be colonized than.,
Daniel Immerwahr,[00:24:09:15],00:24:13:12,You are to be an immigrant. That's how many people live in the overseas territories.,
Daniel Immerwahr,[00:24:13:14],00:24:14:12,And that's the.,
Daniel Immerwahr,[00:24:15:01],00:24:16:04,Launchpad or the.,
Daniel Immerwahr,[00:24:16:04],00:24:19:07,Conceit of this book that I've written. How to Hide an Empire.,
Daniel Immerwahr,[00:24:19:09],00:24:20:01,What I try to.,
Daniel Immerwahr,[00:24:20:01],00:24:21:03,Do in the book is.,
Daniel Immerwahr,[00:24:21:03],00:24:22:08,To tell the.,
Daniel Immerwahr,[00:24:22:08],00:24:32:10,"Story of the United States, where the United States is not just the mainland, but is all of the land over which the United States claims jurisdiction. What people.",
Daniel Immerwahr,[00:24:32:12],00:24:32:17,At.,
Daniel Immerwahr,[00:24:32:17],00:24:46:03,"The turn of the 19th, 20th century called the greater United States. And so I asked if you look at U.S. history, you know, where the United States is this whole space not just a smaller space we usually focus on how does it come out differently?",
Daniel Immerwahr,[00:24:46:08],00:24:46:19,And I think.,
Daniel Immerwahr,[00:24:46:19],00:24:54:00,The answer is it comes out actually quite differently in a number of spots. I should explain the title of the book is called. It's a somewhat playful title.,
Daniel Immerwahr,[00:24:54:00],00:24:54:13,It's called How to.,
Daniel Immerwahr,[00:24:54:13],00:24:59:01,Hide an Empire. And that has to do with the fact that I think the United States has an.,
Daniel Immerwahr,[00:24:59:03],00:25:01:18,Unusual relationship to its overseas colonies.,
Daniel Immerwahr,[00:25:01:18],00:25:03:15,And that it has it doesn't have a history of.,
Daniel Immerwahr,[00:25:03:20],00:25:07:02,Talking about them loudly. And this is kind of bizarre.,
Daniel Immerwahr,[00:25:07:02],00:25:08:07,"Because,",
Daniel Immerwahr,[00:25:08:09],00:25:10:15,The British were completely unashamed.,
Daniel Immerwahr,[00:25:10:17],00:25:22:23,"Of their empire, as were other other countries. So this is just a Canadian postage stamp showing a familiar image to a lot of people in the British Empire, which is a world map with all of the British claimed parts.",
Daniel Immerwahr,[00:25:22:23],00:25:25:21,On it proudly rendered in red.,
Daniel Immerwahr,[00:25:25:23],00:25:47:11,"That that was a map that a lot of people would have have seen, living in the British Empire. In fact, the British had a holiday, to celebrate the imperial dimensions of their country called Empire Day. It started in the schools, and then it became, an official holiday in 1916. Interestingly, the United States had a holiday, a patriotic holiday with exactly the same chronology.",
Daniel Immerwahr,[00:25:47:11],00:26:02:05,"It starts in the schools and it becomes official in 1916. But also, interestingly, the United States patriotic holiday holiday is is of a different kind. It's not to celebrate the Empire. It's called Flag Day, and it is designed to celebrate the United States as a.",
Daniel Immerwahr,[00:26:02:05],00:26:03:10,Nation rather.,
Daniel Immerwahr,[00:26:03:10],00:26:20:21,"Than as an empire. And the object that students were asked to venerate on Flag Day wasn't a as it was on Empire Day. In Britain wasn't a map of the world with all the, you know, colonies painted a certain color. But it was rather the US flag, which has, a star for every state, but no representation at.",
Daniel Immerwahr,[00:26:20:21],00:26:25:17,All for the overseas territories. That hidden quality.,
Daniel Immerwahr,[00:26:25:19],00:26:32:18,"Of the US empire. I think it mattered historically and matter a lot. And it never didn't matter more, than in World War two.",
Daniel Immerwahr,[00:26:32:23],00:26:33:21,It was already.,
Daniel Immerwahr,[00:26:33:21],00:26:39:02,"Clear, in the run up to World War two, that the Japanese might seek, violent expansion.",
Daniel Immerwahr,[00:26:39:08],00:26:39:21,And if they.,
Daniel Immerwahr,[00:26:39:21],00:26:56:02,"Did, that would imperil the western territories of the United States, the Philippines, Guam, American Samoa, or Hawaii, all of which indeed were attacked during the war. The United States saw this coming. People in the territories absolutely saw it coming. War and loudly of it. But nevertheless, the United States was,",conflict
Daniel Immerwahr,[00:26:56:04],00:26:56:22,Slow to.,
Daniel Immerwahr,[00:26:56:22],00:26:57:15,Build up its.,
Daniel Immerwahr,[00:26:57:15],00:26:58:18,Defenses.,
Daniel Immerwahr,[00:26:58:20],00:27:06:04,"On the thought that, you know, this was kind of expensive. And were these colonies really that important anyway? And, you know, maybe it would be okay if Japan took them.",
Daniel Immerwahr,[00:27:06:06],00:27:07:11,"Interestingly, the thing.",
Daniel Immerwahr,[00:27:07:11],00:27:12:06,"That the United States did to most prepare itself, for possible attack by Japan.",
Daniel Immerwahr,[00:27:12:08],00:27:13:00,Was not.,
Daniel Immerwahr,[00:27:13:00],00:27:14:19,"Fortification, but it was to.",
Daniel Immerwahr,[00:27:15:11],00:27:33:12,"Put the Philippines on a countdown to independence. So the idea is that, the Philippines would be transition to a new kind of government called a Commonwealth government. And then after ten years, if it essentially behaved itself, it could become independent. And then, of course, it were to become independent. The United States would no longer be obliged to defend it.",
Daniel Immerwahr,[00:27:33:12],00:27:41:08,"So the Philippines got its independence before Japan attacked. Japan would be attacking, from the US perspective, a foreign country.",
Daniel Immerwahr,[00:27:41:10],00:27:42:02,The exact.,
Daniel Immerwahr,[00:27:42:02],00:28:08:02,"Political nature of the Commonwealth government is, is a little tricky. And it's trickiness that became clear on day one. A, part of the transition was if, Filipinos could elect the president of the Commonwealth, and they elected a man named Manuel Kazan, who was became the first president of this new government. Kazan, upon election, asked for a 21 gun salute, which is an honor, a military honor.",environment;conflict
Daniel Immerwahr,[00:28:08:02],00:28:09:15,"And, FDR.",
Daniel Immerwahr,[00:28:09:21],00:28:11:01,Refused him a.,
Daniel Immerwahr,[00:28:11:01],00:28:16:10,"21 gun salute, and proposed instead that he get a 19 gun salute. What is the.",
Daniel Immerwahr,[00:28:16:10],00:28:17:07,Difference?,
Daniel Immerwahr,[00:28:17:09],00:28:23:17,"FDR says the difference is symbolic, but meaningful. A 21 gun salute is fitting for a head of state.",
Daniel Immerwahr,[00:28:23:19],00:28:25:18,You are not a head of.,
Daniel Immerwahr,[00:28:25:18],00:28:27:02,State because the Philippines.,
Daniel Immerwahr,[00:28:27:02],00:28:28:18,Is subordinate to the United States.,
Daniel Immerwahr,[00:28:28:20],00:28:30:08,I am the head of state.,
Daniel Immerwahr,[00:28:30:10],00:28:32:15,You are essentially like a state governor.,
Daniel Immerwahr,[00:28:32:19],00:28:57:07,"Or something like that, and you get 19 guns. Kazan felt this to be, a serious insult. So he threatened, well, first he threatened war. Then he threatened to boycott his own inauguration. Ultimately, he, acquiesced and took the 19 guns. Nevertheless, too few guns would be an enduring theme, in the in the years to follow.",conflict;literature
Daniel Immerwahr,[00:28:57:09],00:29:22:06,"So, as a lot of people saw coming and as Kazan and other Filipinos feared, when Japan went to war with the United States, it attacked the Philippines and it began to invade and conquer the Philippines. Kazan demanded, immediate military aid. I mean, he'd been demanding it before the war had started, but now he was demanding it much more loudly on on the grounds that Japan was actually in the process of invading and conquering the Philippines.",conflict
Daniel Immerwahr,[00:29:22:08],00:29:58:03,"But as he asked for aid, he but sort of, rammed up against a hard fact about US policy, which the United States had agreed on a grand strategy for fighting World War two, understanding that it would be a two front war. The United States would prioritize, Europe and this is called the Germany First strategy. So the United States would fight the war on two fronts, but it would, put the war with, Japan on the back burner, which, you know, implicitly would mean, you know, taking a few losses, in order to prioritize, defeating, Hitler and defeating Mussolini.",conflict
Daniel Immerwahr,[00:29:58:05],00:30:06:04,"And then once, once, the conflict was in hand in Europe. Then it could turn its full energies to the Pacific.",
Daniel Immerwahr,[00:30:06:06],00:30:08:04,"You know, war is is hard.",
Daniel Immerwahr,[00:30:08:05],00:30:32:11,"War never involves easy choices. This was, I presume, a hard choice. But it was a choice that I think the hardness of was was particularly evident, to Filipinos. It wasn't a secret choice. FDR took to the radio and gave all these addresses about, the need to defend England, from from conquest and those radio addresses, because the Philippines was part of the United States, made their way to the Philippines, where Filipinos heard them.",conflict
Daniel Immerwahr,[00:30:32:13],00:30:33:09,"And,",
Daniel Immerwahr,[00:30:33:11],00:30:36:21,"For Kazan, this was it was you became apoplectic.",
Daniel Immerwahr,[00:30:36:22],00:30:37:19,Upon hearing this.,
Daniel Immerwahr,[00:30:37:19],00:30:38:24,"I said, you know.",
Daniel Immerwahr,[00:30:39:01],00:30:41:07,"Defending England, that is the main priority.",
Daniel Immerwahr,[00:30:41:07],00:31:02:02,"England is not even part of the United States. England in fact, not only is a foreign country, it is an imperialist. And the United States is more interested in defending an imperialist than defending its own largest colony. When people who are U.S. nationals who are in the process of getting invaded, not just facing the threat of getting invaded, Kazan delivered a soliloquy.",
Daniel Immerwahr,[00:31:02:02],00:31:23:11,"That, to U.S. officials heard and recorded. So we have some sense of of what he said. And it's kind of a remarkable one. It's it uses strong language, but it's it's strongly felt, upon hearing Roosevelt's war speeches on the radio, he said, I cannot stand this constant reference to England, to Europe. I'm here and my people are here under the heels of a tyrant.",conflict
Daniel Immerwahr,[00:31:23:13],00:31:24:07,How typically.,
Daniel Immerwahr,[00:31:24:07],00:31:26:05,Americans who writhe in anguish.,
Daniel Immerwahr,[00:31:26:07],00:31:26:11,At.,
Daniel Immerwahr,[00:31:26:11],00:31:28:00,The fate of a distant cousin.,
Daniel Immerwahr,[00:31:28:02],00:31:28:24,While a daughter is.,
Daniel Immerwahr,[00:31:28:24],00:31:30:08,Being raped in the back.,
Daniel Immerwahr,[00:31:30:08],00:31:34:15,Room. That reference.,
Daniel Immerwahr,[00:31:34:17],00:31:53:19,"To the Philippines as the back room? That's not the worst reference that I've heard. To the place of colonies within the US polity, especially during World War two. Because, demanded immediate independence. So at least he could negotiate a peace with Japan. As long as the Philippines was part of the United States, the Philippines was at war with Japan.",conflict
Daniel Immerwahr,[00:31:53:19],00:32:10:02,"And he thought, well, if we can be independent, we can negotiate a peace. The Japanese could perhaps station their troops in the Philippines, but they wouldn't have to conquer every inch of it. He demanded this from, FDR, if you're not going to send battleships, at least give us the ability to, you know, come to our political peace with Japan.",
Daniel Immerwahr,[00:32:10:04],00:32:16:11,"And FDR refused. No, the Philippines cannot negotiate with Japan. And the US flag will be defended.",
Daniel Immerwahr,[00:32:16:12],00:32:20:20,"To the death, which are potentially stirring words.",
Daniel Immerwahr,[00:32:20:22],00:32:21:07,But they are.,
Daniel Immerwahr,[00:32:21:07],00:32:23:20,"Also, if you look at them in a different light, ominous.",
Daniel Immerwahr,[00:32:23:20],00:32:36:07,"Words and actually prophetic ones, in terms of what they predicted for what the war would mean for Filipinos, the cost of the war on Filipinos was appreciated by top U.S. officials at the time.",conflict
Daniel Immerwahr,[00:32:36:09],00:32:37:06,And came out at.,
Daniel Immerwahr,[00:32:37:06],00:32:47:17,"This moment when, Winston Churchill was discussing with Henry Stimson, the Secretary of War, who himself had been the governor, the colonial governor of the Philippines earlier, Churchill.",conflict
Daniel Immerwahr,[00:32:47:17],00:32:48:15,Was discussing.,
Daniel Immerwahr,[00:32:48:15],00:32:50:14,The Germany first strategy.,
Daniel Immerwahr,[00:32:50:16],00:32:55:05,"And, and asked Stimson if Stimson was willing, you know, fully.",
Daniel Immerwahr,[00:32:55:05],00:32:56:13,Understood and was willing to bear the.,
Daniel Immerwahr,[00:32:56:13],00:32:57:07,Costs.,
Daniel Immerwahr,[00:32:57:09],00:33:05:00,"Of that. Germany first strategy, knowing that it would basically mean allowing the Philippines to fall into Japanese hands. And.",
Daniel Immerwahr,[00:33:05:00],00:33:06:05,Churchill was thrilled with.,
Daniel Immerwahr,[00:33:06:05],00:33:23:03,"The Germany first strategy because it meant defending England. But he just wanted to make sure that the United States was aware of the cost it was paying and was ready to pay that cost. To which Stimson replied, there are times when men have to die, and this is an explicit reference to the Philippines. There are times when men have to die.",
Daniel Immerwahr,[00:33:23:05],00:33:49:08,"Unsurprisingly, the Philippines was occupied by Japan during the war and by all accounts, it was a brutal occupation as Japan tried to shunt, the entire Philippine economy into its, war machine. In hastily as a way of kind of building up its defenses and getting more resources to fight the United States. As the United States prepared to devote more and more resources to the Pacific conflict.",conflict
Daniel Immerwahr,[00:33:49:10],00:34:08:17,"Filipinos, not only objected, but resisted. And there are many accounts and diaries of Filipinos from the war of people being, tortured, sometimes summarily executed. In the streets. There were resistance movements and violent suppression of them. It was incredibly hard times throughout Southeast Asia. In the 1940s.",conflict
Daniel Immerwahr,[00:34:08:19],00:34:10:02,The United States.,
Daniel Immerwahr,[00:34:10:04],00:34:10:19,Did.,
Daniel Immerwahr,[00:34:10:21],00:34:11:15,Return to the.,
Daniel Immerwahr,[00:34:11:15],00:34:21:17,"Philippines, to quote unquote, liberate it, from Japan. Although, of course, the what the United States was going to do was to claim what Japan said was now a Japanese.",
Daniel Immerwahr,[00:34:21:17],00:34:22:03,Colony.,
Daniel Immerwahr,[00:34:22:08],00:34:42:22,"And return it to to the United States, so would now be a US colony once again. The, but Japan had done something in the Philippines that the United States hadn't done, which is Japan, and fortified it and and taking it back, liberating it from Japan, was going to be much more difficult than it had been for the Japanese to take it initially from the United States.",
Daniel Immerwahr,[00:34:42:24],00:35:03:14,"The United States prepared to do this, particularly by targeting Manila. Manila was the largest city in the, in the Philippines. It's sort of the Hollywood in New York and Washington, DC all at once. And because of the, depredations of the Japanese war economy, a lot of Filipinos in the countryside were facing outright starvation.",conflict
Daniel Immerwahr,[00:35:03:19],00:35:04:23,"And had, you know.",
Daniel Immerwahr,[00:35:05:00],00:35:11:18,"Gone to Manila, which had inflated to have a population of around a million, just to try to get some food, even there, by the end of the war, they.",conflict
Daniel Immerwahr,[00:35:11:18],00:35:12:08,Were.,
Daniel Immerwahr,[00:35:12:10],00:35:15:10,Dropping dead of starvation in the streets.,
Daniel Immerwahr,[00:35:15:12],00:35:16:10,So Manila.,
Daniel Immerwahr,[00:35:16:12],00:35:21:03,"In, by, you know, by the end of the war had a million people, which made it the.",
Daniel Immerwahr,[00:35:21:03],00:35:21:12,Sixth.,
Daniel Immerwahr,[00:35:21:12],00:35:35:09,"Largest city in the United States, larger than San Francisco or Washington, DC. If if you still counted Manila as being part of the United States, as Washington and war planners in the United States did, the United States prepared for the battle in Manila.",conflict
Daniel Immerwahr,[00:35:35:11],00:35:35:15,By.,
Daniel Immerwahr,[00:35:35:15],00:35:48:15,"Bombing it, by bombing its own city, to take out Japanese installations. And I when I was researching in Manila, I found in the archives some fliers, that US bombers had dropped.",
Daniel Immerwahr,[00:35:48:17],00:35:49:05,Before.,
Daniel Immerwahr,[00:35:49:05],00:35:58:03,Or in between dropping bombs to warn Filipinos of this. And the fliers read this Filipinos American planes are bombing and strafing this area.,
Daniel Immerwahr,[00:35:58:04],00:36:01:02,"Remember, we don't want to hurt you, but bombs cannot.",
Daniel Immerwahr,[00:36:01:03],00:36:01:17,Tell friend.,
Daniel Immerwahr,[00:36:01:17],00:36:02:13,From foe.,
Daniel Immerwahr,[00:36:02:13],00:36:05:23,So stay away from our military targets. Which means.,conflict
Daniel Immerwahr,[00:36:06:04],00:36:06:17,Building.,
Daniel Immerwahr,[00:36:06:17],00:36:12:07,"Supply dumps, bridges, all installations used by the Japanese. Keep off the roads.",
Daniel Immerwahr,[00:36:12:09],00:36:13:23,Yeah. There's a few things to notice about this.,
Daniel Immerwahr,[00:36:13:23],00:36:14:19,"I. First of all, I.",
Daniel Immerwahr,[00:36:14:19],00:36:16:00,Think this.,
Daniel Immerwahr,[00:36:16:02],00:36:18:05,Flier basically gets it right.,
Daniel Immerwahr,[00:36:18:07],00:36:20:13,We don't want to hurt you. That part is exactly true.,
Daniel Immerwahr,[00:36:20:13],00:36:30:22,"I found no evidence that there's any desire, in the part of the US military to hurt Filipinos who, after all, are U.S nationals. But nevertheless, bombs can't tell friend from foe.",conflict
Daniel Immerwahr,[00:36:30:24],00:36:31:20,That part's really true.,
Daniel Immerwahr,[00:36:31:20],00:36:44:12,"To, if you're bombing a city, it's really hard. Especially by the 1940s technology, to be in any way precise. And this list of things to stay away from gives you a sense of just how general the damage could be. Stay away from.",
Daniel Immerwahr,[00:36:44:14],00:36:51:22,"Buildings, bridges, roads. That's a lot of a city. That after,",
Daniel Immerwahr,[00:36:51:24],00:36:54:08,Bombing Manila and bombing a number of other cities in the.,
Daniel Immerwahr,[00:36:54:08],00:36:55:01,Philippines.,
Daniel Immerwahr,[00:36:55:23],00:36:56:07,U.S..,
Daniel Immerwahr,[00:36:56:07],00:37:12:16,"Forces, tried to take Manila by the ground. And initially they had a sort of artisanal strategy they would enter. And any building that, was Japanese held and there were many that were, they would sort of enter into buildings and, you know, get in a firefight in the stairwell and try to clear the emplacements.",
Daniel Immerwahr,[00:37:12:18],00:37:13:06,This was.,
Daniel Immerwahr,[00:37:13:06],00:37:32:16,"Risky. It's hard to get in a firefight inside of a building, and it quickly. And by quickly, I mean, within days, became clear that this was taking some toll on, in terms of casualties of, mainland soldiers. And so the lead unit, the 37th Infantry Division that was in charge of taking Manila from the Japanese.",
Daniel Immerwahr,[00:37:32:16],00:37:33:10,Switched.,
Daniel Immerwahr,[00:37:33:10],00:37:54:12,"To another strategy, which is instead of the artisanal method, each building assess the threat. Go. And, you know, fight the Japanese. Any building that was suspected of having Japanese enemy in it would be just shelled, would be just destroyed, in advance of US troops. That way you didn't have to sort of go in and actually use small arms to, to displace the enemy.",conflict
Daniel Immerwahr,[00:37:54:14],00:38:04:24,"This made a lot of sense from a military perspective. And the sense was expressed well by, the general in charge of the seven 37th Infantry Division who said it this way.",conflict
Daniel Immerwahr,[00:38:05:01],00:38:07:04,"To me, the loss of a single American.",
Daniel Immerwahr,[00:38:07:04],00:38:11:05,Lives to save a building was unthinkable.,
Daniel Immerwahr,[00:38:11:07],00:38:15:00,"Put that way, I entirely agree. Lives or architecture? I choose.",
Daniel Immerwahr,[00:38:15:00],00:38:19:05,Lives. And it's not. It's not at all unreasonable to do so.,
Daniel Immerwahr,[00:38:19:10],00:38:21:12,But that statement conceals.,
Daniel Immerwahr,[00:38:21:12],00:38:25:11,Something and conceal something that Hitler was fully aware of. There's.,
